Date/Time;Depth water [m];Species;Group;Samp type;Size;Ind No [#];Samp m [mg];δ13C [‰ PDB]_new;δ15N [‰ air]_new;δ13C [‰ PDB]_wrong;δ15N [‰ air]_wrong;δ34S [‰ CDT];C/N;N [mg];C [mg];S [mg];Temp [°C];Sal
22.03.11;65;Abra prismatica;Bivalvia;muscle tissue;<23 mm;6;0.05140;-21.546;7.147;7.147;-21.546;12.272;4.608;0.004852;0.019163;0.000648;22;149
22.03.11;65;Abra prismatica;Bivalvia;muscle tissue;<10 mm;1;0.05540;-18.679;8.204;8.204;-18.679;15.455;6.015;0.003098;0.015973;0.000475;22;149
04.08.11;18;Abra prismatica;Bivalvia;muscle tissue;<10 mm;1;0.05690;-21.180;9.639;9.639;-21.180;14.830;4.743;0.005559;0.022602;0.000869;187;137
05.05.11;40;Abra prismatica;Bivalvia;muscle tissue;<10 mm;1;0.06500;-19.816;11.487;11.487;-19.816;15.149;4.563;0.006307;0.024671;0.000650;99;171
15.09.11;19;Acartia sp.;Copepoda;whole individual;;10;0.07560;-23.889;5.935;5.935;-23.889;20.284;5.979;0.001011;0.005183;0.005436;150;174
07.07.11;23;Acartia sp.;Copepoda;whole individual;;5;0.09360;-25.717;7.411;7.411;-25.717;19.321;12.067;0.004185;0.043280;0.001794;174;152
19.05.11;22;Acartia sp.;Copepoda;whole individual;;5;0.10190;-24.095;7.712;7.712;-24.095;19.358;4.002;0.003729;0.012792;0.001664;120;131
07.04.11;44;Acartia sp.;Copepoda;whole individual;;5;0.10850;-24.853;7.141;7.141;-24.853;21.504;5.764;0.001993;0.009850;0.003708;48;164
07.07.11;23;Acartia sp.;Copepoda;whole individual;;5;0.11030;-24.178;7.307;7.307;-24.178;17.414;5.325;0.001608;0.007337;0.001207;174;152
30.08.11;43;Acartia sp.;Copepoda;whole individual;;10;0.12130;-22.016;8.801;8.801;-22.016;19.827;4.932;0.004897;0.020699;0.005044;151;169
08.03.11;50;Acartia sp.;Copepoda;whole individual;;15;0.12630;-25.999;6.846;6.846;-25.999;17.286;6.116;0.002467;0.012931;0.000772;12;132
07.07.11;23;Acartia sp.;Copepoda;whole individual;;5;0.13170;-25.353;8.452;8.452;-25.353;16.311;9.667;0.006466;0.053580;0.000944;174;152
09.06.11;26;Acartia sp.;Copepoda;whole individual;;5;0.13220;-26.000;8.493;8.493;-26.000;20.992;4.681;0.001829;0.007339;0.002914;156;155
21.04.11;67;Acartia sp.;Copepoda;whole individual;;5;0.13910;-26.254;5.234;5.234;-26.254;17.299;4.618;0.001633;0.006463;0.000211;71;165
05.05.11;40;Acartia sp.;Copepoda;whole individual;;5;0.13940;-25.791;4.809;4.809;-25.791;20.542;5.192;0.001523;0.006778;0.001968;99;171
21.04.11;67;Acartia sp.;Copepoda;whole individual;;5;0.13970;-27.015;1.386;1.386;-27.015;18.084;4.616;0.001355;0.005360;0.000265;71;165
18.08.11;24;Acartia sp.;Copepoda;whole individual;;5;0.15190;-21.709;8.102;8.102;-21.709;19.067;5.075;0.002350;0.010220;0.002880;170;148
08.03.11;50;Acartia sp.;Copepoda;whole individual;;15;0.15330;-25.392;9.492;9.492;-25.392;20.219;4.795;0.005000;0.020550;0.002067;12;132
07.07.11;23;Acartia sp.;Copepoda;whole individual;;5;0.15330;-24.958;7.767;7.767;-24.958;18.324;9.492;0.006535;0.053169;0.001473;174;152
07.04.11;44;Acartia sp.;Copepoda;whole individual;;5;0.16400;-24.409;9.806;9.806;-24.409;20.643;5.482;0.002859;0.013433;0.001886;48;164
19.05.11;22;Acartia sp.;Copepoda;whole individual;;5;0.16490;-25.161;8.551;8.551;-25.161;19.578;4.314;0.002677;0.009900;0.001834;120;131
09.06.11;26;Acartia sp.;Copepoda;whole individual;;5;0.17050;-25.517;7.293;7.293;-25.517;21.175;5.093;0.002162;0.009438;0.002670;156;155
04.08.11;18;Acartia sp.;Copepoda;whole individual;;10;0.17630;-22.053;7.374;7.374;-22.053;18.909;4.928;0.003371;0.014239;0.003111;187;137
23.06.11;24;Acartia sp.;Copepoda;whole individual;;10;0.18040;-19.696;10.151;10.151;-19.696;13.106;8.251;0.008382;0.059281;0.000840;151;162
08.03.11;50;Acartia sp.;Copepoda;whole individual;;15;0.20140;-24.576;9.541;9.541;-24.576;19.959;4.841;0.007033;0.029184;0.002007;12;132
08.03.11;50;Acartia sp.;Copepoda;whole individual;;7;0.21150;-18.101;12.287;12.287;-18.101;9.773;4.318;0.006874;0.025444;0.000783;12;132
09.06.11;26;Acartia sp.;Copepoda;whole individual;;5;0.21460;-26.108;7.331;7.331;-26.108;20.496;5.271;0.001458;0.006586;0.001933;156;155
07.07.11;23;Acartia sp.;Copepoda;whole individual;;5;0.23320;-25.490;6.854;6.854;-25.490;18.645;9.393;0.006474;0.052122;0.001662;174;152
21.07.11;26;Acartia sp.;Copepoda;whole individual;;5;0.23510;-24.425;5.093;5.093;-24.425;18.411;5.755;0.001337;0.006595;0.001701;177;138
15.09.11;19;Acartia sp.;Copepoda;whole individual;;10;0.23820;-22.380;7.380;7.380;-22.380;20.228;6.017;0.001313;0.006772;0.005343;150;174
07.07.11;23;Acartia sp.;Copepoda;whole individual;;5;0.24670;-25.580;8.118;8.118;-25.580;16.605;9.312;0.006874;0.054864;0.001020;174;152
05.05.11;40;Acartia sp.;Copepoda;whole individual;;5;0.24930;-26.069;4.260;4.260;-26.069;20.980;4.990;0.001586;0.006784;0.003120;99;171
07.07.11;23;Acartia sp.;Copepoda;whole individual;;5;0.25440;-24.821;6.915;6.915;-24.821;19.573;10.208;0.005492;0.048052;0.002765;174;152
08.03.11;50;Acartia sp.;Copepoda;whole individual;;15;0.29070;-25.695;7.175;7.175;-25.695;21.312;5.121;0.002389;0.010484;0.002520;12;132
08.03.11;50;Acartia sp.;Copepoda;whole individual;;15;0.29130;-21.177;9.027;9.027;-21.177;10.903;5.340;0.002725;0.012471;0.000396;12;132
07.07.11;23;Acartia sp.;Copepoda;whole individual;;5;0.29160;-24.993;7.416;7.416;-24.993;18.090;4.729;0.004483;0.018173;0.001734;174;152
21.04.11;67;Acartia sp.;Copepoda;whole individual;;5;0.30200;-26.160;6.140;6.140;-26.160;21.623;6.224;0.001690;0.009018;0.004021;71;165
15.09.11;19;Acartia sp.;Copepoda;whole individual;;10;0.32700;-24.453;4.884;4.884;-24.453;19.361;8.077;0.000703;0.004870;0.002082;150;174
23.06.11;24;Acartia sp.;Copepoda;whole individual;;10;0.34900;-24.414;6.039;6.039;-24.414;20.018;8.419;0.007736;0.055826;0.004795;151;162
09.06.11;26;Acartia sp.;Copepoda;whole individual;;5;0.39080;-25.937;6.201;6.201;-25.937;19.801;4.839;0.002000;0.008293;0.001322;156;155
07.04.11;44;Acartia sp.;Copepoda;whole individual;;5;0.43000;-25.858;7.263;7.263;-25.858;21.871;6.946;0.001168;0.006956;0.004007;48;164
05.05.11;40;Acartia sp.;Copepoda;whole individual;;5;0.48980;-26.039;7.184;7.184;-26.039;18.372;5.087;0.001406;0.006131;0.000691;99;171
22.03.11;65;Acartia sp.;Copepoda;whole individual;;15;0.51870;-25.624;9.394;9.394;-25.624;17.054;5.773;0.002887;0.014287;0.000232;22;149
15.09.11;19;Acartia sp.;Copepoda;whole individual;;10;0.51910;-23.247;7.688;7.688;-23.247;20.230;6.797;0.001197;0.006974;0.005767;150;174
21.07.11;26;Acartia sp.;Copepoda;whole individual;;5;0.61960;-24.682;4.944;4.944;-24.682;18.757;6.200;0.001080;0.005738;0.002066;177;138
04.08.11;18;Acartia sp.;Copepoda;whole individual;;10;0.65570;-22.101;7.595;7.595;-22.101;18.365;4.873;0.004366;0.018234;0.002276;187;137
21.04.11;67;Actinia equina;Cnidaria;whole individual;5 mm;3;0.05580;-26.063;7.563;7.563;-26.063;16.410;5.659;0.004414;0.021412;0.001124;71;165
09.06.11;26;Akera bullata;Gastropoda;whole individual;10 mm;1;0.05120;-19.293;8.537;8.537;-19.293;17.740;6.381;0.003586;0.019612;0.000730;156;155
05.05.11;40;Alitta virens;Annelida;whole individual;60 mm;2;0.04630;-19.417;11.207;11.207;-19.417;13.602;4.780;0.005210;0.021348;0.000572;99;171
05.05.11;40;Alitta virens;Annelida;whole individual;60 mm;2;0.05350;-18.778;12.172;12.172;-18.778;10.858;5.396;0.004497;0.020802;0.013688;99;171
05.05.11;40;Alitta virens;Annelida;whole individual;80 mm;2;0.05670;-20.061;10.566;10.566;-20.061;12.872;4.147;0.007762;0.027591;0.001083;99;171
05.05.11;40;Alitta virens;Annelida;whole individual;50 mm;2;0.05690;-18.619;12.660;12.660;-18.619;10.754;5.261;0.004211;0.018989;0.013962;99;171
05.05.11;40;Alitta virens;Annelida;whole individual;40 mm;3;0.06860;-19.888;11.618;11.618;-19.888;17.085;4.742;0.007135;0.028999;0.000753;99;171
19.05.11;22;Ammodytes tobianus;Fish;muscle tissue;78 mm;1;0.05020;-22.669;13.032;13.032;-22.669;15.898;4.341;0.007282;0.027098;0.000581;120;131
07.07.11;23;Ammodytes tobianus;Fish;muscle tissue;73 mm;1;0.05320;-22.023;11.856;11.856;-22.023;16.436;4.018;0.007029;0.024211;0.016558;174;152
19.05.11;22;Ammodytes tobianus;Fish;muscle tissue;63 mm;1;0.06110;-22.855;12.560;12.560;-22.855;16.566;4.125;0.008036;0.028416;0.000644;120;131
19.05.11;22;Ammodytes tobianus;Fish;muscle tissue;94 mm;1;0.06120;-22.841;13.098;13.098;-22.841;16.547;4.469;0.007366;0.028213;0.000662;120;131
07.07.11;23;Ammodytes tobianus;Fish;muscle tissue;66 mm;1;0.06650;-22.805;11.050;11.050;-22.805;17.004;4.085;0.006759;0.023667;0.012180;174;152
30.08.11;43;Amphibalanus improvisus;Crustacea;"whole individual; no shell";<5 mm;6;0.05350;-17.908;8.034;8.034;-17.908;17.573;6.662;0.003857;0.022024;0.000545;151;169
