Node ;Species;Group;Compartment
phytoplankton;phytoplankton;autotroph;phytoplankton
microphytobenthos;microphytobenthos;autotroph;microphytobenthos
Zostera;Zostera_marina;autotroph;ZM
Fucus;Fucus_vesiculosus;autotroph;FV
filamentous_algae;filamentous_algae;autotroph;FA
Epiphytes;Epiphytes;autotroph;FA
zooplankton;zooplankton;zooplankon;zooplankton
Bivalve_filter;Mytilus_edulis;Bivalve;Bivalves
Bivalve_filter;Cerastoderma_edule;Bivalve;Bivalves
Bivalve_filter;Corbula_gibba;Bivalve;Bivalves
Bivalve_filter;Macoma_balthica;Bivalve;Bivalves
Bivalve_filter;Mya_truncata;Bivalve;Bivalves
Bivalve_filter;Mysella_bidentata;Bivalve;Bivalves
Amphipod_deposit;Microdeutopus_gryllotalpa;Amphipoda;Amphipods_deposit
Amphipod_deposit;Corophium;Amphipoda;Amphipods_deposit
Amphipod_deposit;Phtisica_marina;Amphipoda;Amphipods_deposit
Amphipod_omnivore;Gammarus_salinus;Amphipoda;Amphipods_omnivore
Amphipod_omnivore;Gammarus_locusta;Amphipoda;Amphipods_omnivore
Isopod_omnivore;Idotea_balthica;Isopod;Isopods_omnivore
Isopod_omnivore;Jaera_albifrons;Isopod;Isopods_omnivore
Gastropod_herbivore;Hydrobia;Gastropod;Gastropods
Gastropod_herbivore;Littorina_littorea;Gastropod;Gastropods
Polychaeta_deposit;Ampharete;Polychaeta;Polychaeta_deposit
Polychaeta_deposit;Arenicola_marina;Polychaeta;Polychaeta_deposit
Polychaeta_deposit;Marenzelleria_viridis;Polychaeta;Polychaeta_deposit
Polychaeta_deposit;Polydora_cornuta;Polychaeta;Polychaeta_deposit
Polychaeta_deposit;Pygospio_elegans;Polychaeta;Polychaeta_deposit
Polychaeta_deposit;Streblospio;Polychaeta;Polychaeta_deposit
Polychaeta_omnivore;Eteone_longa;Polychaeta;Polychaeta_omnivore
Polychaeta_omnivore;Harmothoe_imbricata;Polychaeta;Polychaeta_omnivore
Polychaeta_omnivore;Nereis;Polychaeta;Polychaeta_omnivore
Polychaeta_omnivore;Scoloplos_armiger;Polychaeta;Polychaeta_omnivore
Polychaeta_omnivore;Scoloplos;Polychaeta;Polychaeta_omnivore
Polychaeta_omnivore;Phyllodoce_mucosa;Polychaeta;Polychaeta_omnivore
POC;Seston;Non_living;POC
