"d13C","d15N","d34S","treatment"
-16.287,8.824,15.566,"control"
-16.636,8.943,13.183,"control"
-18.339,8.722,13.944,"control"
-17.041,8.205,15.396,"control"
-17.229,8.195,14.441,"3HW"
-17.002,9.391,15.124,"3HW"
-16.987,7.807,14.724,"3HW"
-16.637,8.934,15.094,"3HW"
-17.282,8.465,13.933,"1HW"
-16.648,8.761,13.028,"1HW"
-17.919,8.686,14.735,"1HW"
-15.755,8.483,13.772,"1HW"
-17.877,8.293,11.302,"control"
-18.562,7.913,13.077,"control"
-18.833,8.529,14.08,"3HW"
-17.106,9.236,13.038,"3HW"
-17.689,8.821,14.647,"3HW"
-18.943,8.118,13.503,"1HW"
-18.483,9.059,13.981,"1HW"
-18.361,8.652,13.565,"1HW"
-23.425,9.061,14.378,"1HW"
