"source","d13C","d15N","d34S","treatment"
"Zostera",-11.268,6.318,9.123,"control"
"Zostera",-11.086,7.491,4.455,"control"
"Zostera",-11.47,6.001,5.341,"control"
"Zostera",-10.379,6.322,9.496,"3HW"
"Zostera",-11.922,6.16,8.154,"3HW"
"Zostera",-11.402,5.924,6.687,"3HW"
"Zostera",-10.595,7.149,10.24,"1HW"
"Zostera",-9.753,6.963,10.79,"1HW"
"Zostera",-12.21,6.894,8.198,"1HW"
"Zostera",-11.901,7.698,10.572,"1HW"
"filamentous_algae",-24.666,6.419,18.999,"control"
"filamentous_algae",-26.266,7.038,19.144,"control"
"filamentous_algae",-24.595,6.804,19.591,"3HW"
"filamentous_algae",-20.325,8.764,18.362,"3HW"
"filamentous_algae",-20.808,7.814,17.99,"3HW"
"filamentous_algae",-22.505,6.797,20.14,"1HW"
"filamentous_algae",-25.355,5.918,19.147,"1HW"
"Fucus",-13.716,7.342,18.578,"control"
"Fucus",-12.872,6.413,18.9,"control"
"Fucus",-14.457,7.646,19.055,"control"
"Fucus",-15.67,7.109,18.387,"control"
"Fucus",-16.518,5.117,19.564,"3HW"
"Fucus",-17.247,9.454,19.782,"3HW"
"Fucus",-12.525,5.989,19.081,"3HW"
"Fucus",-14.189,7.856,20.206,"1HW"
"Fucus",-12.912,6.449,20.227,"1HW"
"Fucus",-18.034,7.937,17.866,"1HW"
"POC",-21.654,4.393,11.947,"control"
"POC",-25.11,5.833,10.711,"control"
"POC",-21.078,5.573,12.306,"control"
"POC",-22.491,4.033,10.987,"control"
"POC",-20.484,2.696,11.858,"control"
"POC",-21.647,2.269,12.428,"control"
"POC",-21.654,4.393,11.947,"1HW"
"POC",-25.11,5.833,10.711,"1HW"
"POC",-21.078,5.573,12.306,"1HW"
"POC",-22.491,4.033,10.987,"1HW"
"POC",-20.484,2.696,11.858,"1HW"
"POC",-21.647,2.269,12.428,"1HW"
"POC",-21.654,4.393,11.947,"3HW"
"POC",-25.11,5.833,10.711,"3HW"
"POC",-21.078,5.573,12.306,"3HW"
"POC",-22.491,4.033,10.987,"3HW"
"POC",-20.484,2.696,11.858,"3HW"
"POC",-21.647,2.269,12.428,"3HW"
