"source","treatment","Meand13C","Meand15N","Meand34S","SDd13C","SDd15N","SDd34S","n"
"filamentous_algae","1HW",-23.93,6.3575,19.6435,2.01525432638166,0.621546860662975,0.702157033718243,2
"Fucus","1HW",-15.045,7.414,19.433,2.66613446772664,0.83669528503512,1.35710242796924,3
"POC","1HW",-22.0773333333333,4.13283333333333,11.7061666666667,1.62910793585528,1.45469342703769,0.702773766347796,6
"Zostera","1HW",-11.11475,7.176,9.95,1.14633688329391,0.364282857131653,1.18969015574084,4
"filamentous_algae","3HW",-21.9093333333333,7.794,18.6476666666667,2.33835975276118,0.980153049273428,0.837856988592526,3
"Fucus","3HW",-15.43,6.85333333333333,19.4756666666667,2.54207179284929,2.29405674152435,0.358751074330564,3
"POC","3HW",-22.0773333333333,4.13283333333333,11.7061666666667,1.62910793585528,1.45469342703769,0.702773766347796,6
"Zostera","3HW",-11.2343333333333,6.13533333333333,8.11233333333333,0.785045433929358,0.200143282008998,1.40496346334463,3
"filamentous_algae","control",-25.466,6.7285,19.0715,1.13137084989847,0.437699097554473,0.102530483272049,2
"Fucus","control",-14.17875,7.1275,18.73,1.18644886812145,0.524628439945834,0.302918030716782,4
"POC","control",-22.0773333333333,4.13283333333333,11.7061666666667,1.62910793585528,1.45469342703769,0.702773766347796,6
"Zostera","control",-11.2746666666667,6.60333333333333,6.30633333333333,0.192086785941494,0.784911672313091,2.47920498009611,3
