"species","taxa","tank","treat","B"
"Gammarus sp.","A_o","A1","0HW",505.858504029043
"Gammarus sp.","A_o","A2","0HW",710.331556491729
"Gammarus sp.","A_o","B2","3HW",300.937655308329
"Gammarus sp.","A_o","C1","1HW",502.62489469927
"Gammarus sp.","A_o","C2","1HW",496.623002899778
"Gammarus sp.","A_o","D1","0HW",397.689767217057
"Gammarus sp.","A_o","D2","0HW",327.828438090583
"Gammarus sp.","A_o","E1","3HW",561.11330156063
"Gammarus sp.","A_o","E2","3HW",481.472307386044
"Gammarus sp.","A_o","F1","1HW",546.756710797975
"Gammarus sp.","A_o","F2","1HW",454.852580056079
"Idotea balthica","I_o","A1","0HW",78.3340766503466
"Idotea balthica","I_o","A2","0HW",101.347005983237
"Idotea balthica","I_o","B2","3HW",90.1239345656206
"Idotea balthica","I_o","C1","1HW",14.9525229430879
"Idotea balthica","I_o","C2","1HW",64.2860978354723
"Idotea balthica","I_o","D1","0HW",12.9766525787965
"Idotea balthica","I_o","D2","0HW",76.4045635907521
"Idotea balthica","I_o","E1","3HW",41.336632903156
"Idotea balthica","I_o","E2","3HW",37.3165943890798
"Idotea balthica","I_o","F1","1HW",23.1049398664065
"Idotea balthica","I_o","F2","1HW",31.432683246621
"Littorina littorea","G_h","A1","0HW",488.329841670559
"Littorina littorea","G_h","A2","0HW",748.38960834729
"Littorina littorea","G_h","B2","3HW",491.387936566665
"Littorina littorea","G_h","C1","1HW",155.141301849055
"Littorina littorea","G_h","C2","1HW",259.870534742097
"Littorina littorea","G_h","D1","0HW",182.219880759779
"Littorina littorea","G_h","D2","0HW",406.028264338143
"Littorina littorea","G_h","E1","3HW",867.695222585032
"Littorina littorea","G_h","E2","3HW",980.505235766667
"Littorina littorea","G_h","F1","1HW",426.118802632813
"Littorina littorea","G_h","F2","1HW",331.635760747239
"Zostera marina","ZM","A1","0HW",14139.55898
"Zostera marina","ZM","A2","0HW",10257.11983
"Zostera marina","ZM","B1","3HW",5149.343763
"Zostera marina","ZM","B2","3HW",11128.03782
"Zostera marina","ZM","C1","1HW",7490.084738
"Zostera marina","ZM","C2","1HW",10258.44193
"Zostera marina","ZM","D1","0HW",7276.055433
"Zostera marina","ZM","D2","0HW",13264.06804
"Zostera marina","ZM","E1","3HW",4216.574438
"Zostera marina","ZM","E2","3HW",9335.803285
"Zostera marina","ZM","F1","1HW",15793.09315
"Zostera marina","ZM","F2","1HW",12047.49894
"Fucus vesiculosus","FV","A1","0HW",25615.32475
"Fucus vesiculosus","FV","A2","0HW",11732.1235
"Fucus vesiculosus","FV","B1","3HW",9725.53716
"Fucus vesiculosus","FV","B2","3HW",22425.83628
"Fucus vesiculosus","FV","C1","1HW",23028.14496
"Fucus vesiculosus","FV","C2","1HW",21153.99941
"Fucus vesiculosus","FV","D1","0HW",24706.56229
"Fucus vesiculosus","FV","D2","0HW",19970.35521
"Fucus vesiculosus","FV","E1","3HW",16274.23748
"Fucus vesiculosus","FV","E2","3HW",19511.76269
"Fucus vesiculosus","FV","F1","1HW",22992.82616
"Fucus vesiculosus","FV","F2","1HW",24365.98073
"filamentous algae","FA","A1","0HW",6246.92283708353
"filamentous algae","FA","A2","0HW",87.82966884
"filamentous algae","FA","B1","3HW",4.36582550377994
"filamentous algae","FA","B2","3HW",1e-06
"filamentous algae","FA","C1","1HW",1172.94246320175
"filamentous algae","FA","C2","1HW",1262.87271
"filamentous algae","FA","D1","0HW",4838.160043
"filamentous algae","FA","D2","0HW",409.361539305414
"filamentous algae","FA","E1","3HW",607.427096017444
"filamentous algae","FA","E2","3HW",140.9075633
"filamentous algae","FA","F1","1HW",2801.60005758548
"filamentous algae","FA","F2","1HW",89.64023409
"particulate organic carbon","POC","A1","0HW",314.7866004
"particulate organic carbon","POC","A2","0HW",325.3189208
"particulate organic carbon","POC","B2","3HW",327.4403946
"particulate organic carbon","POC","C1","1HW",288.7781929
"particulate organic carbon","POC","C2","1HW",258.1503725
"particulate organic carbon","POC","D1","0HW",397.3110941
"particulate organic carbon","POC","D2","0HW",347.1341402
"particulate organic carbon","POC","E1","3HW",412.0423673
"particulate organic carbon","POC","E2","3HW",320.0512592
"particulate organic carbon","POC","F1","1HW",383.823736
"particulate organic carbon","POC","F2","1HW",293.0099183
"Corophium volutator","A_d","A1","0HW",2.7244164332399
"Corophium volutator","A_d","A2","0HW",0.628711484593768
"Corophium volutator","A_d","B2","3HW",4.61055088702143
"Corophium volutator","A_d","C1","1HW",6.91582633053215
"Corophium volutator","A_d","C2","1HW",2.51484593837531
"Corophium volutator","A_d","D1","0HW",9.64024276377204
"Corophium volutator","A_d","D2","0HW",2.7244164332399
