tank,treatment,group,mgC_m2_day
A1,0HW,ZM,115.96822
A2,0HW,ZM,60.92689178
B2,3HW,ZM,43.41448995
C1,1HW,ZM,40.14327068
C2,1HW,ZM,85.20165589
D1,0HW,ZM,58.82055375
D2,0HW,ZM,112.8146697
E1,3HW,ZM,14.67783711
E2,3HW,ZM,90.94881608
F1,1HW,ZM,68.28125176
F2,1HW,ZM,55.17634659
A1,0HW,FV,36.79987562
A2,0HW,FV,5.487912363
B2,3HW,FV,4.209234069
C1,1HW,FV,3.371868256
C2,1HW,FV,1.995848163
D1,0HW,FV,9.906341766
D2,0HW,FV,0.30620295
E1,3HW,FV,0
E2,3HW,FV,2.522925451
F1,1HW,FV,119.715347
F2,1HW,FV,1.59574367
A1,0HW,FA,0
A2,0HW,FA,0
B2,3HW,FA,0
C1,1HW,FA,0
C2,1HW,FA,0.078151089
D1,0HW,FA,1.658614442
D2,0HW,FA,0.11311735
E1,3HW,FA,0
E2,3HW,FA,0
F1,1HW,FA,0
F2,1HW,FA,0.080418497
