"tank","species","length_µm","length_mm","treatment","temperature"
"A1","A_d",3661.161,3.661161,"0HW","20"
"A1","G_d",3482.604,3.482604,"0HW","20"
"A1","I_d",3233.121,3.233121,"0HW","20"
"A1","B_f",1191.366,1.191366,"0HW","20"
"A1","A_d",4409.744,4.409744,"0HW","20"
"A1","G_d",2168.048,2.168048,"0HW","20"
"A1","I_d",4170.346,4.170346,"0HW","20"
"A1","B_f",7391.022,7.391022,"0HW","20"
"A1","A_d",3320.563,3.320563,"0HW","20"
"A1","G_d",3399.458,3.399458,"0HW","20"
"A1","I_d",2182.046,2.182046,"0HW","20"
"A1","B_f",1419.456,1.419456,"0HW","20"
"A1","A_d",3888.383,3.888383,"0HW","20"
"A1","G_d",1466.771,1.466771,"0HW","20"
"A1","I_d",1411.945,1.411945,"0HW","20"
"A1","B_f",8085.28,8.08528,"0HW","20"
"A1","A_d",3878.551,3.878551,"0HW","20"
"A1","G_d",3435.553,3.435553,"0HW","20"
"A1","I_d",2896.519,2.896519,"0HW","20"
"A1","B_f",1524.255,1.524255,"0HW","20"
"A1","A_d",2706.263,2.706263,"0HW","20"
"A1","G_d",3582.232,3.582232,"0HW","20"
"A1","I_d",3258.915,3.258915,"0HW","20"
"A1","B_f",1493.392,1.493392,"0HW","20"
"A1","A_d",2760.919,2.760919,"0HW","20"
"A1","G_d",4176.193,4.176193,"0HW","20"
"A1","I_d",3813.793,3.813793,"0HW","20"
"A1","B_f",1383.353,1.383353,"0HW","20"
"A1","A_d",3512.104,3.512104,"0HW","20"
"A1","G_d",3209.98,3.20998,"0HW","20"
"A1","I_d",4479.627,4.479627,"0HW","20"
"A1","B_f",1869.759,1.869759,"0HW","20"
"A1","A_d",3558.503,3.558503,"0HW","20"
"A1","G_d",3372.946,3.372946,"0HW","20"
"A1","I_d",3047.187,3.047187,"0HW","20"
"A1","B_f",6691.38,6.69138,"0HW","20"
"A1","A_d",2743.502,2.743502,"0HW","20"
"A1","G_d",1570.979,1.570979,"0HW","20"
"A1","I_d",4527.251,4.527251,"0HW","20"
"A1","B_f",1726.583,1.726583,"0HW","20"
"A1","A_d",2940.63,2.94063,"0HW","20"
"A1","G_d",4308.178,4.308178,"0HW","20"
"A1","I_d",2200.742,2.200742,"0HW","20"
"A1","B_f",972.67,0.97267,"0HW","20"
"A1","A_d",3613.609,3.613609,"0HW","20"
"A1","G_d",2068.275,2.068275,"0HW","20"
"A1","I_d",3168.14,3.16814,"0HW","20"
"A1","B_f",7119.609,7.119609,"0HW","20"
"A1","A_d",2208.671,2.208671,"0HW","20"
"A1","G_d",3216.598,3.216598,"0HW","20"
"A1","I_d",2029.265,2.029265,"0HW","20"
"A1","B_f",1469.821,1.469821,"0HW","20"
"A1","A_d",2488.494,2.488494,"0HW","20"
"A1","G_d",4293.812,4.293812,"0HW","20"
"A1","I_d",3156.528,3.156528,"0HW","20"
"A1","B_f",5531.833,5.531833,"0HW","20"
"A1","A_d",2804.02,2.80402,"0HW","20"
"A1","G_d",4318.507,4.318507,"0HW","20"
"A1","I_d",1908.627,1.908627,"0HW","20"
"A1","B_f",4352.175,4.352175,"0HW","20"
