"species","taxa","tank","treat","B","alpha","PB","RB","P","R","G","C","E"
"Corophium volutator","A_d","A1","0HW",2.7244164332399,0.8675,0.0109,0.0512405546726006,0.0296961391223149,0.13960060919836,0.169296748320675,0.195154753107407,0.0258580047867314
"Corophium volutator","A_d","A2","0HW",0.628711484593768,0.8675,0.0109,0.0512405546726006,0.00685295518207208,0.0322155251996189,0.039068480381691,0.0450357122555516,0.00596723187386058
"Corophium volutator","A_d","B2","3HW",4.61055088702143,0.8675,0.0169,0.0793815259589652,0.0779183099906622,0.365992564923222,0.443910874913884,0.511712824108223,0.0678019491943396
"Corophium volutator","A_d","C1","1HW",6.91582633053215,0.8675,0.0169,0.0793815259589652,0.116877464985993,0.548988847384833,0.665866312370826,0.767569236162335,0.101702923791509
"Corophium volutator","A_d","C2","1HW",2.51484593837531,0.8675,0.0169,0.0793815259589652,0.0425008963585427,0.199632308139937,0.24213320449848,0.279116085877211,0.0369828813787304
"Corophium volutator","A_d","D1","0HW",9.64024276377204,0.8675,0.0109,0.0512405546726006,0.105078646125115,0.493971386394204,0.599050032519319,0.690547587918524,0.0914975553992043
"Corophium volutator","A_d","D2","0HW",2.7244164332399,0.8675,0.0109,0.0512405546726006,0.0296961391223149,0.13960060919836,0.169296748320675,0.195154753107407,0.0258580047867314
"Corophium volutator","A_d","E1","3HW",44.6385154061627,0.8675,0.0169,0.0793815259589652,0.754390910364149,3.54347346948397,4.29786437984812,4.9543105243206,0.656446144472479
"Corophium volutator","A_d","E2","3HW",2.30527544351072,0.8675,0.0169,0.0793815259589652,0.0389591549953311,0.182996282461611,0.221955437456942,0.255856412054112,0.0339009745971698
"Corophium volutator","A_d","F1","1HW",0.838281979458358,0.8675,0.0169,0.0793815259589652,0.0141669654528462,0.0665441027133063,0.0807110681661526,0.0930386952923949,0.0123276271262423
"Corophium volutator","A_d","F2","1HW",3.98183940242766,0.8675,0.0169,0.0793815259589652,0.0672930859010275,0.316084487888242,0.38337757378927,0.441933802638927,0.0585562288496578
