"species","taxa","tank","treat","B","PB","RB","NPP","R","GPP"
"Zostera marina","ZM","A1","0HW",14139.55898,0.0388006289158672,0.0330027293965023,548.623781016998,466.644038802824,1015.26781981982
"Zostera marina","ZM","A2","0HW",10257.11983,0.0357443621585254,0.033984639713798,366.634205906912,348.584521923803,715.218727830715
"Zostera marina","ZM","B1","3HW",5149.343763,0.0321344478236635,0.0620640503221997,165.471318478231,319.589130433137,485.060448911368
"Zostera marina","ZM","B2","3HW",11128.03782,0.0281844438636456,0.00900392563410564,313.637557250315,100.196024984795,413.83358223511
"Zostera marina","ZM","C1","1HW",7490.084738,0.0275935824424896,0.0998200042903627,206.678270719236,747.66029068234,954.338561401576
"Zostera marina","ZM","C2","1HW",10258.44193,0.0395335899198929,0.0364359943513515,405.553036477655,373.776532215147,779.329568692802
"Zostera marina","ZM","D1","0HW",7276.055433,0.0034964832964934,0.0392904823003102,25.4406062858446,285.879727206362,311.320333492207
"Zostera marina","ZM","D2","0HW",13264.06804,0.0152336176279742,0.0108954931110085,202.059740712793,144.518561953768,346.578302666561
"Zostera marina","ZM","E1","3HW",4216.574438,0.16424779785173,0.141397603174024,692.563065919396,596.213519138057,1288.77658505745
"Zostera marina","ZM","E2","3HW",9335.803285,0.0259767702848611,1e-07,242.514017359097,0.0009335803285,242.514950939425
"Zostera marina","ZM","F1","1HW",15793.09315,0.0476741287879723,1e-07,752.921956793543,0.001579309315,752.923536102858
"Zostera marina","ZM","F2","1HW",12047.49894,0.0225669991506786,0.150640480740617,271.875898346781,1814.84103204367,2086.71693039046
"Fucus vesiculosus","FV","A1","0HW",25615.32475,0.0392496702531367,0.0171294635063308,1005.39304986451,438.776770507937,1444.16982037245
"Fucus vesiculosus","FV","A2","0HW",11732.1235,0.0250450017469273,0.0176703923491505,293.831053552667,207.311225333689,501.142278886356
"Fucus vesiculosus","FV","B1","3HW",9725.53716,0.0334508339103603,0.0264029041987657,325.327328228197,256.782425917016,582.109754145213
"Fucus vesiculosus","FV","B2","3HW",22425.83628,0.0172870689452803,0.0272541642630176,387.676977927928,611.19742571066,998.874403638588
"Fucus vesiculosus","FV","C1","1HW",23028.14496,0.0316199644404666,0.0160125613796012,728.14912476511,368.739584630354,1096.88870939546
"Fucus vesiculosus","FV","C2","1HW",21153.99941,0.0321062037489675,0.0161353511117193,679.174615162997,341.327207897453,1020.50182306045
"Fucus vesiculosus","FV","D1","0HW",24706.56229,0.0282502180293784,0.0182113211919703,697.965771448919,449.939141412611,1147.90491286153
"Fucus vesiculosus","FV","D2","0HW",19970.35521,0.0308482966764808,0.0176703923491505,616.051442252784,352.884011912603,968.935454165387
"Fucus vesiculosus","FV","E1","3HW",16274.23748,0.0230601978607303,0.0281054243272695,375.287136321313,457.394349978153,832.681486299466
"Fucus vesiculosus","FV","E2","3HW",19511.76269,0.024599366905457,0.0272541642630176,479.977009383516,531.776785414278,1011.75379479779
"Fucus vesiculosus","FV","F1","1HW",22992.82616,0.0325924430574683,0.0162581408438374,749.392377350067,373.820606107149,1123.21298345722
"Fucus vesiculosus","FV","F2","1HW",24365.98073,0.0321062037489675,0.0161353511117193,782.299141860795,393.153654259937,1175.45279612073
"filamentous algae","FA","A1","0HW",6246.92283708353,0.271691214487361,0.0748827713494151,1697.23405241605,467.786894446765,2165.02094686282
"filamentous algae","FA","A2","0HW",87.82966884,0.300330509630009,0.0905440012855065,26.3779292033521,7.95244964835457,34.3303788517067
"filamentous algae","FA","B1","3HW",4.36582550377994,0.992788491330045,0.636768914700575,4.33434131530792,2.78002196781404,7.11436328312196
"filamentous algae","FA","B2","3HW",1e-06,0.88815637092026,0.529223710214924,8.8815637092026e-07,5.29223710214924e-07,1.41738008113518e-06
"filamentous algae","FA","C1","1HW",1172.94246320175,0.409668699882031,0.147957398835222,480.517813936289,173.545515838709,654.063329774998
"filamentous algae","FA","C2","1HW",1262.87271,0.445046680919937,0.145730973908808,562.037308009866,184.039669951156,746.076977961022
"filamentous algae","FA","D1","0HW",4838.160043,0.300330509630009,0.0905440012855065,1453.04707138573,438.066369152878,1891.11344053861
"filamentous algae","FA","D2","0HW",409.361539305414,0.328969804772656,0.106205231221598,134.667585666736,43.4763369351608,178.143922601897
"filamentous algae","FA","E1","3HW",607.427096017444,0.783524250510476,0.421678505729274,475.933860146822,256.138950188108,732.07281033493
"filamentous algae","FA","E2","3HW",140.9075633,0.88815637092026,0.529223710214924,125.147950055745,74.5716234469703,199.719573502715
"filamentous algae","FA","F1","1HW",2801.60005758548,0.480424661957843,0.143504548982394,1345.95776060658,402.042352692853,1748.00011329943
"filamentous algae","FA","F2","1HW",89.64023409,0.445046680919937,0.145730973908808,39.8940886586407,13.0633586153492,52.9574472739899
"particulate organic carbon","POC","A1","0HW",314.7866004,NA,NA,NA,NA,NA
"particulate organic carbon","POC","A2","0HW",325.3189208,NA,NA,NA,NA,NA
"particulate organic carbon","POC","B2","3HW",327.4403946,NA,NA,NA,NA,NA
"particulate organic carbon","POC","C1","1HW",288.7781929,NA,NA,NA,NA,NA
"particulate organic carbon","POC","C2","1HW",258.1503725,NA,NA,NA,NA,NA
"particulate organic carbon","POC","D1","0HW",397.3110941,NA,NA,NA,NA,NA
"particulate organic carbon","POC","D2","0HW",347.1341402,NA,NA,NA,NA,NA
"particulate organic carbon","POC","E1","3HW",412.0423673,NA,NA,NA,NA,NA
"particulate organic carbon","POC","E2","3HW",320.0512592,NA,NA,NA,NA,NA
"particulate organic carbon","POC","F1","1HW",383.823736,NA,NA,NA,NA,NA
"particulate organic carbon","POC","F2","1HW",293.0099183,NA,NA,NA,NA,NA
