"tank","species","length_µm","length_mm","treatment","temperature"
"A1","Microdeutopus sp ",3661.161,3.661161,"0HW","20"
"A1","Gammarus sp ",8546.04333072603,8.54604333072603,"0HW","20"
"A1","Hydrobia sp ",3482.604,3.482604,"0HW","20"
"A1","Idotea sp ",1872.285,1.872285,"0HW","20"
"A1","Jaera albifrons ",3233.121,3.233121,"0HW","20"
"A1","Littorina littorea ",6618.312,6.618312,"0HW","20"
"A1","Mytilus edulis ",1191.366,1.191366,"0HW","20"
"A1","Microdeutopus sp ",4409.744,4.409744,"0HW","20"
"A1","Gammarus sp ",11522.69009306,11.52269009306,"0HW","20"
"A1","Hydrobia sp ",2168.048,2.168048,"0HW","20"
"A1","Idotea sp ",6032.836,6.032836,"0HW","20"
"A1","Jaera albifrons ",4170.346,4.170346,"0HW","20"
"A1","Littorina littorea ",4136.334,4.136334,"0HW","20"
"A1","Mytilus edulis ",7391.022,7.391022,"0HW","20"
"A1","Microdeutopus sp ",3320.563,3.320563,"0HW","20"
"A1","Gammarus sp ",8344.43133638391,8.34443133638391,"0HW","20"
"A1","Hydrobia sp ",3399.458,3.399458,"0HW","20"
"A1","Idotea sp ",14124.621,14.124621,"0HW","20"
"A1","Jaera albifrons ",2182.046,2.182046,"0HW","20"
"A1","Littorina littorea ",4746.637,4.746637,"0HW","20"
"A1","Mytilus edulis ",1419.456,1.419456,"0HW","20"
"A1","Microdeutopus sp ",3888.383,3.888383,"0HW","20"
"A1","Gammarus sp ",7695.24929569784,7.69524929569784,"0HW","20"
"A1","Hydrobia sp ",1466.771,1.466771,"0HW","20"
"A1","Idotea sp ",2980.864,2.980864,"0HW","20"
"A1","Jaera albifrons ",1411.945,1.411945,"0HW","20"
"A1","Littorina littorea ",3133.395,3.133395,"0HW","20"
"A1","Mytilus edulis ",8085.28,8.08528,"0HW","20"
"A1","Microdeutopus sp ",3878.551,3.878551,"0HW","20"
"A1","Gammarus sp ",19065.9026104744,19.0659026104744,"0HW","20"
"A1","Hydrobia sp ",3435.553,3.435553,"0HW","20"
"A1","Idotea sp ",18637.649,18.637649,"0HW","20"
"A1","Jaera albifrons ",2896.519,2.896519,"0HW","20"
"A1","Littorina littorea ",5053.83,5.05383,"0HW","20"
"A1","Mytilus edulis ",1524.255,1.524255,"0HW","20"
"A1","Microdeutopus sp ",2706.263,2.706263,"0HW","20"
"A1","Gammarus sp ",19795.6944433913,19.7956944433913,"0HW","20"
"A1","Hydrobia sp ",3582.232,3.582232,"0HW","20"
"A1","Idotea sp ",5118.455,5.118455,"0HW","20"
"A1","Jaera albifrons ",3258.915,3.258915,"0HW","20"
"A1","Littorina littorea ",2589.486,2.589486,"0HW","20"
"A1","Mytilus edulis ",1493.392,1.493392,"0HW","20"
"A1","Microdeutopus sp ",2760.919,2.760919,"0HW","20"
"A1","Gammarus sp ",18877.2433030802,18.8772433030802,"0HW","20"
"A1","Hydrobia sp ",4176.193,4.176193,"0HW","20"
"A1","Idotea sp ",7027.217,7.027217,"0HW","20"
"A1","Jaera albifrons ",3813.793,3.813793,"0HW","20"
"A1","Littorina littorea ",3087.04,3.08704,"0HW","20"
"A1","Mytilus edulis ",1383.353,1.383353,"0HW","20"
"A1","Microdeutopus sp ",3512.104,3.512104,"0HW","20"
"A1","Gammarus sp ",29526.4948386271,29.5264948386271,"0HW","20"
"A1","Hydrobia sp ",3209.98,3.20998,"0HW","20"
"A1","Idotea sp ",7187.187,7.187187,"0HW","20"
"A1","Jaera albifrons ",4479.627,4.479627,"0HW","20"
"A1","Littorina littorea ",3737.841,3.737841,"0HW","20"
"A1","Mytilus edulis ",1869.759,1.869759,"0HW","20"
"A1","Microdeutopus sp ",3558.503,3.558503,"0HW","20"
"A1","Gammarus sp ",11001.4152423797,11.0014152423797,"0HW","20"
"A1","Hydrobia sp ",3372.946,3.372946,"0HW","20"
"A1","Idotea sp ",3161.172,3.161172,"0HW","20"
"A1","Jaera albifrons ",3047.187,3.047187,"0HW","20"
"A1","Littorina littorea ",3254.515,3.254515,"0HW","20"
"A1","Mytilus edulis ",6691.38,6.69138,"0HW","20"
"A1","Microdeutopus sp ",2743.502,2.743502,"0HW","20"
"A1","Gammarus sp ",9585.45114459176,9.58545114459176,"0HW","20"
"A1","Hydrobia sp ",1570.979,1.570979,"0HW","20"
"A1","Idotea sp ",5222.164,5.222164,"0HW","20"
"A1","Jaera albifrons ",4527.251,4.527251,"0HW","20"
"A1","Littorina littorea ",2668.846,2.668846,"0HW","20"
"A1","Mytilus edulis ",1726.583,1.726583,"0HW","20"
"A1","Microdeutopus sp ",2940.63,2.94063,"0HW","20"
"A1","Gammarus sp ",14509.0771081577,14.5090771081577,"0HW","20"
"A1","Hydrobia sp ",4308.178,4.308178,"0HW","20"
"A1","Idotea sp ",17097.938,17.097938,"0HW","20"
"A1","Jaera albifrons ",2200.742,2.200742,"0HW","20"
"A1","Littorina littorea ",1406.782,1.406782,"0HW","20"
"A1","Mytilus edulis ",972.67,0.97267,"0HW","20"
"A1","Microdeutopus sp ",3613.609,3.613609,"0HW","20"
"A1","Gammarus sp ",12976.695703035,12.976695703035,"0HW","20"
"A1","Hydrobia sp ",2068.275,2.068275,"0HW","20"
"A1","Idotea sp ",23260.663,23.260663,"0HW","20"
"A1","Jaera albifrons ",3168.14,3.16814,"0HW","20"
"A1","Littorina littorea ",3984.603,3.984603,"0HW","20"
"A1","Mytilus edulis ",7119.609,7.119609,"0HW","20"
"A1","Microdeutopus sp ",2208.671,2.208671,"0HW","20"
"A1","Gammarus sp ",22408.0584263778,22.4080584263778,"0HW","20"
"A1","Hydrobia sp ",3216.598,3.216598,"0HW","20"
"A1","Idotea sp ",22467.16,22.46716,"0HW","20"
"A1","Jaera albifrons ",2029.265,2.029265,"0HW","20"
"A1","Littorina littorea ",1885.497,1.885497,"0HW","20"
"A1","Mytilus edulis ",1469.821,1.469821,"0HW","20"
"A1","Microdeutopus sp ",2488.494,2.488494,"0HW","20"
"A1","Gammarus sp ",19907.6964882261,19.9076964882261,"0HW","20"
"A1","Hydrobia sp ",4293.812,4.293812,"0HW","20"
"A1","Idotea sp ",5026.335,5.026335,"0HW","20"
"A1","Jaera albifrons ",3156.528,3.156528,"0HW","20"
"A1","Littorina littorea ",2010.534,2.010534,"0HW","20"
"A1","Mytilus edulis ",5531.833,5.531833,"0HW","20"
"A1","Microdeutopus sp ",2804.02,2.80402,"0HW","20"
"A1","Gammarus sp ",17303.0207682906,17.3030207682906,"0HW","20"
"A1","Hydrobia sp ",4318.507,4.318507,"0HW","20"
"A1","Idotea sp ",2817.962,2.817962,"0HW","20"
"A1","Jaera albifrons ",1908.627,1.908627,"0HW","20"
"A1","Littorina littorea ",4235.384,4.235384,"0HW","20"
"A1","Mytilus edulis ",4352.175,4.352175,"0HW","20"
"A1","Microdeutopus sp ",2869.652,2.869652,"0HW","20"
"A1","Gammarus sp ",11823.1345119011,11.8231345119011,"0HW","20"
"A1","Hydrobia sp ",3895.395,3.895395,"0HW","20"
"A1","Idotea sp ",5878.487,5.878487,"0HW","20"
"A1","Jaera albifrons ",3965.059,3.965059,"0HW","20"
"A1","Littorina littorea ",1862.08,1.86208,"0HW","20"
"A1","Mytilus edulis ",954.783,0.954783,"0HW","20"
"A1","Microdeutopus sp ",2492.306,2.492306,"0HW","20"
"A1","Gammarus sp ",8165.4537711941,8.1654537711941,"0HW","20"
"A1","Hydrobia sp ",3685.972,3.685972,"0HW","20"
"A1","Idotea sp ",3843.54,3.84354,"0HW","20"
"A1","Jaera albifrons ",3577.542,3.577542,"0HW","20"
"A1","Littorina littorea ",7494.942,7.494942,"0HW","20"
"A1","Mytilus edulis ",5190.199,5.190199,"0HW","20"
"A1","Microdeutopus sp ",2555.808,2.555808,"0HW","20"
"A1","Gammarus sp ",13732.4646023129,13.7324646023129,"0HW","20"
"A1","Hydrobia sp ",3472.884,3.472884,"0HW","20"
"A1","Idotea sp ",12303.711,12.303711,"0HW","20"
"A1","Jaera albifrons ",2747.95,2.74795,"0HW","20"
"A1","Littorina littorea ",3539.227,3.539227,"0HW","20"
"A1","Mytilus edulis ",2027.499,2.027499,"0HW","20"
"A1","Microdeutopus sp ",3747.343,3.747343,"0HW","20"
"A1","Gammarus sp ",9940.1140653038,9.9401140653038,"0HW","20"
"A1","Hydrobia sp ",3979.937,3.979937,"0HW","20"
"A1","Idotea sp ",6368.112,6.368112,"0HW","20"
"A1","Jaera albifrons ",3539.797,3.539797,"0HW","20"
"A1","Littorina littorea ",4167.607,4.167607,"0HW","20"
"A1","Mytilus edulis ",1461.419,1.461419,"0HW","20"
"A1","Microdeutopus sp ",2716.479,2.716479,"0HW","20"
"A1","Gammarus sp ",10434.0390667368,10.4340390667368,"0HW","20"
"A1","Hydrobia sp ",3953.014,3.953014,"0HW","20"
"A1","Idotea sp ",4684.69,4.68469,"0HW","20"
"A1","Jaera albifrons ",1285.372,1.285372,"0HW","20"
"A1","Littorina littorea ",2969.948,2.969948,"0HW","20"
"A1","Mytilus edulis ",2797.045,2.797045,"0HW","20"
"A1","Microdeutopus sp ",3294.572,3.294572,"0HW","20"
"A1","Gammarus sp ",16750.6450885348,16.7506450885348,"0HW","20"
"A1","Hydrobia sp ",3757.017,3.757017,"0HW","20"
"A1","Idotea sp ",3496.88,3.49688,"0HW","20"
"A1","Jaera albifrons ",1791.116,1.791116,"0HW","20"
"A1","Littorina littorea ",3009.782,3.009782,"0HW","20"
"A1","Mytilus edulis ",7145.723,7.145723,"0HW","20"
"A1","Microdeutopus sp ",3067.409,3.067409,"0HW","20"
"A1","Gammarus sp ",8618.4295879899,8.6184295879899,"0HW","20"
"A1","Hydrobia sp ",5346.952,5.346952,"0HW","20"
"A1","Idotea sp ",3525.42,3.52542,"0HW","20"
"A1","Jaera albifrons ",3096.088,3.096088,"0HW","20"
"A1","Littorina littorea ",4146.928,4.146928,"0HW","20"
"A1","Mytilus edulis ",1674.183,1.674183,"0HW","20"
"A1","Microdeutopus sp ",2163.268,2.163268,"0HW","20"
"A1","Gammarus sp ",10974.8355639741,10.9748355639741,"0HW","20"
"A1","Hydrobia sp ",2856.913,2.856913,"0HW","20"
"A1","Idotea sp ",3253.438,3.253438,"0HW","20"
"A1","Jaera albifrons ",3267.833,3.267833,"0HW","20"
"A1","Littorina littorea ",3434.445,3.434445,"0HW","20"
"A1","Mytilus edulis ",1811.375,1.811375,"0HW","20"
"A1","Microdeutopus sp ",2685.79,2.68579,"0HW","20"
"A1","Gammarus sp ",12482.5715882078,12.4825715882078,"0HW","20"
"A1","Hydrobia sp ",3915.744,3.915744,"0HW","20"
"A1","Idotea sp ",8883.184,8.883184,"0HW","20"
"A1","Jaera albifrons ",4084.976,4.084976,"0HW","20"
"A1","Littorina littorea ",1506.972,1.506972,"0HW","20"
"A1","Mytilus edulis ",2129.71,2.12971,"0HW","20"
"A1","Microdeutopus sp ",3344.813,3.344813,"0HW","20"
"A1","Gammarus sp ",8982.21918765805,8.98221918765805,"0HW","20"
"A1","Hydrobia sp ",5036.08,5.03608,"0HW","20"
"A1","Idotea sp ",2729.943,2.729943,"0HW","20"
"A1","Jaera albifrons ",3822.002,3.822002,"0HW","20"
"A1","Littorina littorea ",2125.29,2.12529,"0HW","20"
"A1","Mytilus edulis ",5948.67,5.94867,"0HW","20"
"A1","Microdeutopus sp ",3017.486,3.017486,"0HW","20"
"A1","Gammarus sp ",21351.6133068908,21.3516133068908,"0HW","20"
"A1","Hydrobia sp ",3539.291,3.539291,"0HW","20"
"A1","Idotea sp ",13929.794,13.929794,"0HW","20"
"A1","Jaera albifrons ",3391.018,3.391018,"0HW","20"
"A1","Littorina littorea ",2315.256,2.315256,"0HW","20"
"A1","Mytilus edulis ",1695.179,1.695179,"0HW","20"
"A1","Microdeutopus sp ",3688.064,3.688064,"0HW","20"
"A1","Gammarus sp ",10871.804912557,10.871804912557,"0HW","20"
"A1","Hydrobia sp ",4744.986,4.744986,"0HW","20"
"A1","Idotea sp ",9919.167,9.919167,"0HW","20"
"A1","Jaera albifrons ",2313.592,2.313592,"0HW","20"
"A1","Littorina littorea ",3901.711,3.901711,"0HW","20"
"A1","Mytilus edulis ",2870.36,2.87036,"0HW","20"
"A1","Microdeutopus sp ",4238.601,4.238601,"0HW","20"
"A1","Gammarus sp ",9035.40372689052,9.03540372689052,"0HW","20"
"A1","Hydrobia sp ",3339.327,3.339327,"0HW","20"
"A1","Idotea sp ",16501.359,16.501359,"0HW","20"
"A1","Jaera albifrons ",3135.681,3.135681,"0HW","20"
"A1","Littorina littorea ",1438.88,1.43888,"0HW","20"
"A1","Mytilus edulis ",4647.595,4.647595,"0HW","20"
"A1","Microdeutopus sp ",3698.411,3.698411,"0HW","20"
"A1","Gammarus sp ",12018.9107653551,12.0189107653551,"0HW","20"
"A1","Hydrobia sp ",3692.102,3.692102,"0HW","20"
"A1","Idotea sp ",14309.58,14.30958,"0HW","20"
"A1","Jaera albifrons ",2424.644,2.424644,"0HW","20"
"A1","Littorina littorea ",3511.54,3.51154,"0HW","20"
"A1","Mytilus edulis ",5566.327,5.566327,"0HW","20"
"A1","Microdeutopus sp ",4948.197,4.948197,"0HW","20"
"A1","Gammarus sp ",8261.18256557603,8.26118256557604,"0HW","20"
"A1","Hydrobia sp ",4595.668,4.595668,"0HW","20"
"A1","Idotea sp ",11374.611,11.374611,"0HW","20"
"A1","Jaera albifrons ",3037.4,3.0374,"0HW","20"
"A1","Littorina littorea ",4434.522,4.434522,"0HW","20"
"A1","Mytilus edulis ",1447.567,1.447567,"0HW","20"
"A1","Microdeutopus sp ",3089.996,3.089996,"0HW","20"
"A1","Gammarus sp ",7966.36655088733,7.96636655088733,"0HW","20"
"A1","Hydrobia sp ",3786.399,3.786399,"0HW","20"
"A1","Idotea sp ",16121.743,16.121743,"0HW","20"
"A1","Jaera albifrons ",2549.639,2.549639,"0HW","20"
"A1","Littorina littorea ",6188.857,6.188857,"0HW","20"
"A1","Mytilus edulis ",6412.039,6.412039,"0HW","20"
"A1","Microdeutopus sp ",2006.854,2.006854,"0HW","20"
"A1","Gammarus sp ",20654.7360855224,20.6547360855224,"0HW","20"
"A1","Hydrobia sp ",3174.071,3.174071,"0HW","20"
"A1","Idotea sp ",3440.096,3.440096,"0HW","20"
"A1","Jaera albifrons ",3172.841,3.172841,"0HW","20"
"A1","Littorina littorea ",3687.915,3.687915,"0HW","20"
"A1","Mytilus edulis ",6091.912,6.091912,"0HW","20"
"A1","Microdeutopus sp ",6079.748,6.079748,"0HW","20"
"A1","Gammarus sp ",11655.9542850981,11.6559542850981,"0HW","20"
"A1","Hydrobia sp ",3720.431,3.720431,"0HW","20"
"A1","Idotea sp ",8321.378,8.321378,"0HW","20"
"A1","Jaera albifrons ",1662.104,1.662104,"0HW","20"
"A1","Littorina littorea ",4514.177,4.514177,"0HW","20"
"A1","Mytilus edulis ",1268.365,1.268365,"0HW","20"
"A1","Microdeutopus sp ",3040.021,3.040021,"0HW","20"
"A1","Gammarus sp ",13122.7716210497,13.1227716210497,"0HW","20"
"A1","Hydrobia sp ",3832.823,3.832823,"0HW","20"
"A1","Idotea sp ",15335.682,15.335682,"0HW","20"
"A1","Jaera albifrons ",2407.13,2.40713,"0HW","20"
"A1","Littorina littorea ",2843.01,2.84301,"0HW","20"
"A1","Mytilus edulis ",739.087,0.739087,"0HW","20"
"A1","Microdeutopus sp ",3861.808,3.861808,"0HW","20"
"A1","Gammarus sp ",13728.2767991875,13.7282767991875,"0HW","20"
"A1","Hydrobia sp ",3153.976,3.153976,"0HW","20"
"A1","Idotea sp ",4374.859,4.374859,"0HW","20"
"A1","Jaera albifrons ",3292.941,3.292941,"0HW","20"
"A1","Littorina littorea ",2810.379,2.810379,"0HW","20"
"A1","Mytilus edulis ",1801.709,1.801709,"0HW","20"
"A1","Microdeutopus sp ",4429.272,4.429272,"0HW","20"
"A1","Gammarus sp ",12543.1909895882,12.5431909895882,"0HW","20"
"A1","Hydrobia sp ",3754.395,3.754395,"0HW","20"
"A1","Idotea sp ",4684.031,4.684031,"0HW","20"
"A1","Jaera albifrons ",2001.271,2.001271,"0HW","20"
"A1","Littorina littorea ",2162.051,2.162051,"0HW","20"
"A1","Mytilus edulis ",952.435,0.952435,"0HW","20"
"A1","Microdeutopus sp ",2133.099,2.133099,"0HW","20"
"A1","Gammarus sp ",8577.02370801437,8.57702370801437,"0HW","20"
"A1","Hydrobia sp ",3606.213,3.606213,"0HW","20"
"A1","Idotea sp ",12591.312,12.591312,"0HW","20"
"A1","Jaera albifrons ",2309.932,2.309932,"0HW","20"
"A1","Littorina littorea ",5848.281,5.848281,"0HW","20"
"A1","Mytilus edulis ",1502.807,1.502807,"0HW","20"
"A1","Microdeutopus sp ",4147.455,4.147455,"0HW","20"
"A1","Gammarus sp ",7489.13534691314,7.48913534691314,"0HW","20"
"A1","Hydrobia sp ",4933.957,4.933957,"0HW","20"
"A1","Idotea sp ",11390.614,11.390614,"0HW","20"
"A1","Jaera albifrons ",3136.252,3.136252,"0HW","20"
"A1","Littorina littorea ",1022.709,1.022709,"0HW","20"
"A1","Mytilus edulis ",1909.8,1.9098,"0HW","20"
"A1","Microdeutopus sp ",2936.799,2.936799,"0HW","20"
"A1","Gammarus sp ",11235.5113330635,11.2355113330635,"0HW","20"
"A1","Hydrobia sp ",2708.563,2.708563,"0HW","20"
"A1","Idotea sp ",4197.035,4.197035,"0HW","20"
"A1","Jaera albifrons ",2168.127,2.168127,"0HW","20"
"A1","Littorina littorea ",1162.067,1.162067,"0HW","20"
"A1","Mytilus edulis ",2544.309,2.544309,"0HW","20"
"A1","Microdeutopus sp ",3602.38,3.60238,"0HW","20"
"A1","Gammarus sp ",11097.3512078728,11.0973512078728,"0HW","20"
"A1","Hydrobia sp ",2952.18,2.95218,"0HW","20"
"A1","Idotea sp ",2066.584,2.066584,"0HW","20"
"A1","Jaera albifrons ",2400.891,2.400891,"0HW","20"
"A1","Littorina littorea ",2441.391,2.441391,"0HW","20"
"A1","Mytilus edulis ",3494.028,3.494028,"0HW","20"
"A1","Microdeutopus sp ",4375.607,4.375607,"0HW","20"
"A1","Gammarus sp ",11824.8023749573,11.8248023749573,"0HW","20"
"A1","Hydrobia sp ",1679.656,1.679656,"0HW","20"
"A1","Idotea sp ",3346.21,3.34621,"0HW","20"
"A1","Jaera albifrons ",3416.144,3.416144,"0HW","20"
"A1","Littorina littorea ",3024.622,3.024622,"0HW","20"
"A1","Mytilus edulis ",4439.87,4.43987,"0HW","20"
"A1","Microdeutopus sp ",3682.776,3.682776,"0HW","20"
"A1","Gammarus sp ",8599.34915075229,8.59934915075229,"0HW","20"
"A1","Hydrobia sp ",4201.099,4.201099,"0HW","20"
"A1","Idotea sp ",8832.463,8.832463,"0HW","20"
"A1","Jaera albifrons ",3244.319,3.244319,"0HW","20"
"A1","Littorina littorea ",4209.085,4.209085,"0HW","20"
"A1","Mytilus edulis ",1047.367,1.047367,"0HW","20"
"A1","Microdeutopus sp ",2318.094,2.318094,"0HW","20"
"A1","Gammarus sp ",14258.6614839707,14.2586614839707,"0HW","20"
"A1","Hydrobia sp ",4577.608,4.577608,"0HW","20"
"A1","Idotea sp ",2491.293,2.491293,"0HW","20"
"A1","Jaera albifrons ",2173.72,2.17372,"0HW","20"
"A1","Littorina littorea ",4105.912,4.105912,"0HW","20"
"A1","Mytilus edulis ",3995.656,3.995656,"0HW","20"
"A1","Microdeutopus sp ",3743.702,3.743702,"0HW","20"
"A1","Gammarus sp ",10776.3147934828,10.7763147934828,"0HW","20"
"A1","Hydrobia sp ",4339.503,4.339503,"0HW","20"
"A1","Idotea sp ",3505.973,3.505973,"0HW","20"
"A1","Jaera albifrons ",1556.807,1.556807,"0HW","20"
"A1","Littorina littorea ",1996.23,1.99623,"0HW","20"
"A1","Mytilus edulis ",1619.811,1.619811,"0HW","20"
