"tank","species","length_µm","length_mm","treatment","temperature","estimate_a","estimate_b","DW_mg","DW_µg","B_µg","B_mg.m2"
"A1","A_o",8546.04333072603,8.54604333072603,"0HW","20",-1.69,2.6,5.4024310804604,5402.4310804604,1941.63373031747,1.26904165380227
"A1","I_o",1872.285,1.872285,"0HW","20",-1.77,2.51,0.0819697507264508,81.9697507264508,24.8122435448967,0.0162171526437233
"A1","G_h",6618.312,6.618312,"0HW","20",0.19,2.34,128.987769864288,128987.769864288,7624.26069624626,4.98317692565115
"A1","A_o",11522.69009306,11.52269009306,"0HW","20",-1.69,2.6,11.7500602086547,11750.0602086547,4222.97163899049,2.76011218234673
"A1","I_o",6032.836,6.032836,"0HW","20",-1.77,2.51,1.54564236739964,1545.64236739964,467.865944611871,0.305794735040439
"A1","G_h",4136.334,4.136334,"0HW","20",0.19,2.34,42.9418255828747,42941.8255828747,2538.22260328279,1.65896902175346
"A1","A_o",8344.43133638391,8.34443133638391,"0HW","20",-1.69,2.6,5.07728495122204,5077.28495122204,1824.7762114692,1.19266419050274
"A1","I_o",14124.621,14.124621,"0HW","20",-1.77,2.51,13.075002378774,13075.002378774,3957.80322005489,2.58679949023195
"A1","G_h",4746.637,4.746637,"0HW","20",0.19,2.34,59.2574948362477,59257.4948362477,3502.61570777886,2.28929131227377
"A1","A_o",7695.24929569784,7.69524929569784,"0HW","20",-1.69,2.6,4.11319220353324,4113.19220353324,1478.28127794985,0.96619691369271
"A1","I_o",2980.864,2.980864,"0HW","20",-1.77,2.51,0.263389723765177,263.389723765177,79.728069383719,0.0521098492704045
"A1","G_h",3133.395,3.133395,"0HW","20",0.19,2.34,22.4220564608677,22422.0564608677,1325.33188211155,0.866229988308204
"A1","A_o",19065.9026104744,19.0659026104744,"0HW","20",-1.69,2.6,43.5180235401196,43518.0235401196,15640.377660319,10.222469059032
"A1","I_o",18637.649,18.637649,"0HW","20",-1.77,2.51,26.2229612061013,26222.9612061013,7937.69035708686,5.18803291312867
"A1","G_h",5053.83,5.05383,"0HW","20",0.19,2.34,68.6234063787711,68623.4063787711,4056.21975359895,2.6511240219601
"A1","A_o",19795.6944433913,19.7956944433913,"0HW","20",-1.69,2.6,47.9826167014033,47982.6167014033,17244.9524424843,11.2712107467218
"A1","I_o",5118.455,5.118455,"0HW","20",-1.77,2.51,1.02314836012004,1023.14836012004,309.707008608336,0.202422881443357
"A1","G_h",2589.486,2.589486,"0HW","20",0.19,2.34,14.3522419671542,14352.2419671542,848.338059091335,0.554469319667539
"A1","A_o",18877.2433030802,18.8772433030802,"0HW","20",-1.69,2.6,42.407267595966,42407.267595966,15241.1719739902,9.96155030979751
"A1","I_o",7027.217,7.027217,"0HW","20",-1.77,2.51,2.26686807113684,2266.86807113684,686.180965133121,0.448484290936681
"A1","G_h",3087.04,3.08704,"0HW","20",0.19,2.34,21.6535387270804,21653.5387270804,1279.90602849576,0.836539887905725
"A1","A_o",29526.4948386271,29.5264948386271,"0HW","20",-1.69,2.6,135.690962818855,135690.962818855,48767.3320370964,31.8740732268604
"A1","I_o",7187.187,7.187187,"0HW","20",-1.77,2.51,2.39862828813126,2398.62828813126,726.064782817333,0.474552145632244
"A1","G_h",3737.841,3.737841,"0HW","20",0.19,2.34,33.8791672532408,33879.1672532408,2002.54336967146,1.30885187560226
"A1","A_o",11001.4152423797,11.0014152423797,"0HW","20",-1.69,2.6,10.4175657150423,10417.5657150423,3744.0731179862,2.44710661306287
"A1","I_o",3161.172,3.161172,"0HW","20",-1.77,2.51,0.305224082971398,305.224082971398,92.3913299154422,0.0603864901408119
"A1","G_h",3254.515,3.254515,"0HW","20",0.19,2.34,24.5029226712942,24502.9226712942,1448.32855442393,0.946619970211717
"A1","A_o",9585.45114459176,9.58545114459176,"0HW","20",-1.69,2.6,7.28102715561625,7281.02715561625,2616.80115972848,1.71032755537809
"A1","I_o",5222.164,5.222164,"0HW","20",-1.77,2.51,1.07598141855881,1075.98141855881,325.699575397751,0.212875539475654
"A1","G_h",2668.846,2.668846,"0HW","20",0.19,2.34,15.4027059296451,15402.7059296451,910.429303171834,0.595051832138454
"A1","A_o",14509.0771081577,14.5090771081577,"0HW","20",-1.69,2.6,21.392594088579,21392.594088579,7688.4983154353,5.02516229767013
"A1","I_o",17097.938,17.097938,"0HW","20",-1.77,2.51,21.1197504450792,21119.7504450792,6392.94845972549,4.17839768609509
"A1","G_h",1406.782,1.406782,"0HW","20",0.19,2.34,3.44231586612304,3442.31586612304,203.469783141147,0.132986786366763
"A1","A_o",12976.695703035,12.976695703035,"0HW","20",-1.69,2.6,16.0039326110643,16003.9326110643,5751.81338041651,3.75935515059903
"A1","I_o",23260.663,23.260663,"0HW","20",-1.77,2.51,45.7321315533332,45732.1315533332,13843.1162211939,9.04778837986532
"A1","G_h",3984.603,3.984603,"0HW","20",0.19,2.34,39.3460405126945,39346.0405126945,2325.68150104055,1.52005326865396
"A1","A_o",22408.0584263778,22.4080584263778,"0HW","20",-1.69,2.6,66.2294263338962,66229.4263338962,23802.8558244023,15.5574221074525
"A1","I_o",22467.16,22.46716,"0HW","20",-1.77,2.51,41.9165883089206,41916.5883089206,12688.1512811103,8.29290933405899
"A1","G_h",1885.497,1.885497,"0HW","20",0.19,2.34,6.83119179682926,6831.19179682926,403.780817203703,0.263909030852093
"A1","A_o",19907.6964882261,19.9076964882261,"0HW","20",-1.69,2.6,48.6916653269885,48691.6653269885,17499.7845185197,11.4377676591632
"A1","I_o",5026.335,5.026335,"0HW","20",-1.77,2.51,0.977554750509001,977.554750509001,295.905822979075,0.193402498679134
"A1","G_h",2010.534,2.010534,"0HW","20",0.19,2.34,7.93868787361852,7938.68787361852,469.243138308993,0.306694861639865
"A1","A_o",17303.0207682906,17.3030207682906,"0HW","20",-1.69,2.6,33.8155936069024,33815.5936069024,12153.3243423207,7.94334924334688
"A1","I_o",2817.962,2.817962,"0HW","20",-1.77,2.51,0.228737401054323,228.737401054323,69.2388112991435,0.04525412503212
"A1","G_h",4235.384,4.235384,"0HW","20",0.19,2.34,45.3867549161785,45386.7549161785,2682.73846428745,1.75342383286761
"A1","A_o",11823.1345119011,11.8231345119011,"0HW","20",-1.69,2.6,12.5633320834057,12563.3320834057,4515.26155077602,2.95115134037649
"A1","I_o",5878.487,5.878487,"0HW","20",-1.77,2.51,1.44829343113641,1448.29343113641,438.398421604991,0.286534916081694
"A1","G_h",1862.08,1.86208,"0HW","20",0.19,2.34,6.63431525889651,6634.31525889651,392.143760048958,0.25630311114311
"A1","A_o",8165.4537711941,8.1654537711941,"0HW","20",-1.69,2.6,4.79897893275914,4798.97893275914,1724.75302843363,1.12728956106773
"A1","I_o",3843.54,3.84354,"0HW","20",-1.77,2.51,0.498512241059438,498.512241059438,150.899655368692,0.0986272257311712
"A1","G_h",7494.942,7.494942,"0HW","20",0.19,2.34,172.567006989985,172567.006989985,10200.1596759668,6.66677103004368
"A1","A_o",13732.4646023129,13.7324646023129,"0HW","20",-1.69,2.6,18.5415513992804,18541.5513992804,6663.83357290139,4.35544677967411
"A1","I_o",12303.711,12.303711,"0HW","20",-1.77,2.51,9.24678298030497,9246.78298030497,2799.00120813831,1.82941255433877
"A1","G_h",3539.227,3.539227,"0HW","20",0.19,2.34,29.8157473139088,29815.7473139088,1762.36111852945,1.15187001211075
"A1","A_o",9940.1140653038,9.9401140653038,"0HW","20",-1.69,2.6,8.00235027094466,8002.35027094466,2876.04468737751,1.87976776952778
"A1","I_o",6368.112,6.368112,"0HW","20",-1.77,2.51,1.77038140527998,1770.38140527998,535.894451378251,0.350257811358334
"A1","G_h",4167.607,4.167607,"0HW","20",0.19,2.34,43.7053915746698,43705.3915746698,2583.35576735221,1.68846782179883
"A1","A_o",10434.0390667368,10.4340390667368,"0HW","20",-1.69,2.6,9.07771182897226,9077.71182897225,3262.52963133263,2.13237230806054
"A1","I_o",4684.69,4.68469,"0HW","20",-1.77,2.51,0.819235856956473,819.235856956473,247.982693900724,0.162080192091977
"A1","G_h",2969.948,2.969948,"0HW","20",0.19,2.34,19.7802737769707,19780.2737769707,1169.18033451869,0.764170153280192
"A1","A_o",16750.6450885348,16.7506450885348,"0HW","20",-1.69,2.6,31.0800705536368,31080.0705536368,11170.1773569771,7.3007695143641
"A1","I_o",3496.88,3.49688,"0HW","20",-1.77,2.51,0.39322274470091,393.22274470091,119.028524820966,0.0777964214516115
"A1","G_h",3009.782,3.009782,"0HW","20",0.19,2.34,20.4066631138552,20406.6631138552,1206.205205999,0.788369415685621
"A1","A_o",8618.4295879899,8.6184295879899,"0HW","20",-1.69,2.6,5.52221305490638,5522.21305490637,1984.68337193335,1.29717867446624
"A1","I_o",3525.42,3.52542,"0HW","20",-1.77,2.51,0.401327822350081,401.327822350081,121.48193182537,0.079399955441418
"A1","G_h",4146.928,4.146928,"0HW","20",0.19,2.34,43.1996271538657,43199.6271538657,2553.46084166155,1.66892865468075
"A1","A_o",10974.8355639741,10.9748355639741,"0HW","20",-1.69,2.6,10.3522525179381,10352.2525179381,3720.59955494696,2.43176441499801
"A1","I_o",3253.438,3.253438,"0HW","20",-1.77,2.51,0.328080004776482,328.080004776482,99.3098174458412,0.0649083774155825
"A1","G_h",3434.445,3.434445,"0HW","20",0.19,2.34,27.7910121536577,27791.0121536577,1642.68226278326,1.07364853776684
"A1","A_o",12482.5715882078,12.4825715882078,"0HW","20",-1.69,2.6,14.4674026973506,14467.4026973506,5199.58452942782,3.39842126106394
"A1","I_o",8883.184,8.883184,"0HW","20",-1.77,2.51,4.08232269389721,4082.32269389721,1235.71907944269,0.807659529047507
"A1","G_h",1506.972,1.506972,"0HW","20",0.19,2.34,4.04358082459942,4043.58082459942,239.009592812752,0.156215420139054
"A1","A_o",8982.21918765805,8.98221918765805,"0HW","20",-1.69,2.6,6.14890079898043,6148.90079898043,2209.91494715357,1.44438885434874
"A1","I_o",2729.943,2.729943,"0HW","20",-1.77,2.51,0.211225080326219,211.225080326219,63.9378318147466,0.0417894325586579
"A1","G_h",2125.29,2.12529,"0HW","20",0.19,2.34,9.03979506745409,9039.79506745409,534.327822765103,0.349233871088303
"A1","A_o",21351.6133068908,21.3516133068908,"0HW","20",-1.69,2.6,58.4143849335246,58414.3849335246,20994.1299451088,13.7216535588946
"A1","I_o",13929.794,13.929794,"0HW","20",-1.77,2.51,12.6270291125587,12627.0291125587,3822.20171237153,2.4981710538376
"A1","G_h",2315.256,2.315256,"0HW","20",0.19,2.34,11.0448978332125,11044.8978332125,652.84623908466,0.426696888290627
"A1","A_o",10871.804912557,10.871804912557,"0HW","20",-1.69,2.6,10.1014633325431,10101.4633325431,3630.465921716,2.37285354360523
"A1","I_o",9919.167,9.919167,"0HW","20",-1.77,2.51,5.38459145147788,5384.59145147788,1629.91583236236,1.06530446559631
"A1","G_h",3901.711,3.901711,"0HW","20",0.19,2.34,37.4573396801054,37457.3396801054,2214.04341674754,1.44708720048859
"A1","A_o",9035.40372689052,9.03540372689052,"0HW","20",-1.69,2.6,6.24401105505085,6244.01105505085,2244.09757318528,1.46673043999038
"A1","I_o",16501.359,16.501359,"0HW","20",-1.77,2.51,19.3185479035904,19318.5479035904,5847.72445041683,3.82204212445544
"A1","G_h",1438.88,1.43888,"0HW","20",0.19,2.34,3.6289209506757,3628.9209506757,214.499711120919,0.140195889621516
"A1","A_o",12018.9107653551,12.0189107653551,"0HW","20",-1.69,2.6,13.1114066723678,13111.4066723678,4712.23955804899,3.07989513597973
"A1","I_o",14309.58,14.30958,"0HW","20",-1.77,2.51,13.5090088541441,13509.0088541441,4089.17698014941,2.67266469290811
"A1","G_h",3511.54,3.51154,"0HW","20",0.19,2.34,29.2728111137488,29272.8111137488,1730.26902843591,1.13089478982739
"A1","A_o",8261.18256557603,8.26118256557604,"0HW","20",-1.69,2.6,4.94663392403953,4946.63392403953,1777.82023229981,1.16197400803909
"A1","I_o",11374.611,11.374611,"0HW","20",-1.77,2.51,7.5927788112281,7592.7788112281,2298.33414615875,1.50217918049591
"A1","G_h",4434.522,4.434522,"0HW","20",0.19,2.34,50.5384065023346,50538.4065023346,2987.2443469026,1.95244728555725
