"species","taxa","tank","treat","B","alpha","PB","RB","P","R","G","C","E"
"Gammarus sp.","A_o","A1","0HW",505.858504029043,0.7778,0.0117,0.081636488848236,5.9185444971398,41.2965121229523,47.2150566200921,60.7033384161637,13.4882817960716
"Gammarus sp.","A_o","A2","0HW",710.331556491729,0.7778,0.0117,0.0619623446363733,8.31087921095322,44.0138087094319,52.3246879203851,67.2726766783044,14.9479887579192
"Gammarus sp.","A_o","B2","3HW",300.937655308329,0.7778,0.0181,0.0756530440472006,5.44697156108076,22.7668496925023,28.213821253583,36.2738766438455,8.06005539026247
"Gammarus sp.","A_o","C1","1HW",502.62489469927,0.7778,0.0181,0.148586185469663,9.09751059405679,74.6831158254556,83.7806264195124,107.714870685925,23.9342442664125
"Gammarus sp.","A_o","C2","1HW",496.623002899778,0.7778,0.0181,0.0942845115942999,8.98887635248597,46.8238572749001,55.8127336273861,71.7571787443894,15.9444451170033
"Gammarus sp.","A_o","D1","0HW",397.689767217057,0.7778,0.0117,0.0754218103694032,4.65297027643957,29.994482208897,34.6474524853366,44.5454518968071,9.89799941147054
"Gammarus sp.","A_o","D2","0HW",327.828438090583,0.7778,0.0117,0.0793461741041891,3.83559272565982,26.0119323250398,29.8475250506996,38.3742929425297,8.5267678918301
"Gammarus sp.","A_o","E1","3HW",561.11330156063,0.7778,0.0181,0.126031201772152,10.1561507582474,70.7177837260261,80.8739344842735,103.977802114006,23.103867629732
"Gammarus sp.","A_o","E2","3HW",481.472307386044,0.7778,0.0181,0.069377386821401,8.71464876368739,33.403290513314,42.1179392770014,54.1500890678856,12.0321497908842
"Gammarus sp.","A_o","F1","1HW",546.756710797975,0.7778,0.0181,0.106857850659934,9.89629646544336,58.4252469497668,68.3215434152102,87.8394746917076,19.5179312764974
"Gammarus sp.","A_o","F2","1HW",454.852580056079,0.7778,0.0181,0.0885242970539697,8.23283169901503,40.2655049126488,48.4983366116639,62.353222694348,13.8548860826841
"Idotea balthica","I_o","A1","0HW",78.3340766503466,0.8488,0.0328,0.0936442816409915,2.56935771413137,7.33553833593208,9.90489605006345,11.6692931786798,1.76439712861639
"Idotea balthica","I_o","A2","0HW",101.347005983237,0.8488,0.0328,0.131574684129069,3.32418179625017,13.3347002996712,16.6588820959214,19.6263926672024,2.967510571281
"Idotea balthica","I_o","B2","3HW",90.1239345656206,0.8488,0.0657879478710549,0.189367696116035,5.92906870913742,17.0665618536039,22.9956305627413,27.091930446208,4.09629988346665
"Idotea balthica","I_o","C1","1HW",14.9525229430879,0.8488,0.0657879478710549,0.119292030567355,0.983695799920622,1.78371682398592,2.76741262390654,3.26038245040827,0.492969826501731
"Idotea balthica","I_o","C2","1HW",64.2860978354723,0.8488,0.0657879478710549,0.0749742314926559,4.22925045323359,4.81980078087623,9.04905123410982,10.6609934426364,1.61194220852663
"Idotea balthica","I_o","D1","0HW",12.9766525787965,0.8488,0.0328,0.233161571363124,0.425634204584525,3.02565670630552,3.45129091089004,4.06608260001183,0.614791689121789
"Idotea balthica","I_o","D2","0HW",76.4045635907521,0.8488,0.0328,0.111869540406913,2.50606968577667,8.54734341388821,11.0534130996649,13.0223999760425,1.96898687637763
"Idotea balthica","I_o","E1","3HW",41.336632903156,0.8488,0.0657879478710549,0.149275218771788,2.71945225059776,6.1705349199077,8.88998717050546,10.4735946872119,1.58360751670644
"Idotea balthica","I_o","E2","3HW",37.3165943890798,0.8488,0.0657879478710549,0.0644969052903626,2.45498216639408,2.40680485407136,4.86178702046544,5.72783579225429,0.866048771788849
"Idotea balthica","I_o","F1","1HW",23.1049398664065,0.8488,0.0657879478710549,0.0295855158294965,1.52002657949501,0.683571564157135,2.20359814365215,2.59613353399169,0.392535390339543
