"compartments","tank","treat","B","C","P","R","E","alpha","M"
"ZM","A1","0HW",14139.55898,1015.26781981982,548.623781016998,466.644038802824,NA,NA,NA
"ZM","A2","0HW",10257.11983,715.218727830715,366.634205906912,348.584521923803,NA,NA,NA
"ZM","B2","3HW",11128.03782,413.83358223511,313.637557250315,100.196024984795,NA,NA,NA
"ZM","C1","1HW",7490.084738,954.338561401576,206.678270719236,747.66029068234,NA,NA,NA
"ZM","C2","1HW",10258.44193,779.329568692802,405.553036477655,373.776532215147,NA,NA,NA
"ZM","D1","0HW",7276.055433,311.320333492207,25.4406062858446,285.879727206362,NA,NA,NA
"ZM","D2","0HW",13264.06804,346.578302666561,202.059740712793,144.518561953768,NA,NA,NA
"ZM","E1","3HW",4216.574438,1288.77658505745,692.563065919396,596.213519138057,NA,NA,NA
"ZM","E2","3HW",9335.803285,242.514950939425,242.514017359097,0.0009335803285,NA,NA,NA
"ZM","F1","1HW",15793.09315,752.923536102858,752.921956793543,0.001579309315,NA,NA,NA
"ZM","F2","1HW",12047.49894,2086.71693039046,271.875898346781,1814.84103204367,NA,NA,NA
"FV","A1","0HW",25615.32475,1444.16982037245,1005.39304986451,438.776770507937,NA,NA,NA
"FV","A2","0HW",11732.1235,501.142278886356,293.831053552667,207.311225333689,NA,NA,NA
"FV","B2","3HW",22425.83628,998.874403638588,387.676977927928,611.19742571066,NA,NA,NA
"FV","C1","1HW",23028.14496,1096.88870939546,728.14912476511,368.739584630354,NA,NA,NA
"FV","C2","1HW",21153.99941,1020.50182306045,679.174615162997,341.327207897453,NA,NA,NA
"FV","D1","0HW",24706.56229,1147.90491286153,697.965771448919,449.939141412611,NA,NA,NA
"FV","D2","0HW",19970.35521,968.935454165387,616.051442252784,352.884011912603,NA,NA,NA
"FV","E1","3HW",16274.23748,832.681486299466,375.287136321313,457.394349978153,NA,NA,NA
"FV","E2","3HW",19511.76269,1011.75379479779,479.977009383516,531.776785414278,NA,NA,NA
"FV","F1","1HW",22992.82616,1123.21298345722,749.392377350067,373.820606107149,NA,NA,NA
"FV","F2","1HW",24365.98073,1175.45279612073,782.299141860795,393.153654259937,NA,NA,NA
"FA","A1","0HW",6246.92283708353,2165.02094686282,1697.23405241605,467.786894446765,NA,NA,NA
"FA","A2","0HW",87.82966884,34.3303788517067,26.3779292033521,7.95244964835457,NA,NA,NA
"FA","B2","3HW",1e-06,1.41738008113518e-06,8.8815637092026e-07,5.29223710214924e-07,NA,NA,NA
"FA","C1","1HW",1172.94246320175,654.063329774998,480.517813936289,173.545515838709,NA,NA,NA
"FA","C2","1HW",1262.87271,746.076977961022,562.037308009866,184.039669951156,NA,NA,NA
"FA","D1","0HW",4838.160043,1891.11344053861,1453.04707138573,438.066369152878,NA,NA,NA
"FA","D2","0HW",409.361539305414,178.143922601897,134.667585666736,43.4763369351608,NA,NA,NA
"FA","E1","3HW",607.427096017444,732.07281033493,475.933860146822,256.138950188108,NA,NA,NA
"FA","E2","3HW",140.9075633,199.719573502715,125.147950055745,74.5716234469703,NA,NA,NA
"FA","F1","1HW",2801.60005758548,1748.00011329943,1345.95776060658,402.042352692853,NA,NA,NA
"FA","F2","1HW",89.64023409,52.9574472739899,39.8940886586407,13.0633586153492,NA,NA,NA
"A_o","A1","0HW",505.858504029043,60.7033384161637,5.9185444971398,41.2965121229523,13.4882817960716,0.7778,NA
"A_o","A2","0HW",710.331556491729,67.2726766783044,8.31087921095322,44.0138087094319,14.9479887579192,0.7778,NA
"A_o","B2","3HW",300.937655308329,36.2738766438455,5.44697156108076,22.7668496925023,8.06005539026247,0.7778,NA
"A_o","C1","1HW",502.62489469927,107.714870685925,9.09751059405679,74.6831158254556,23.9342442664125,0.7778,NA
"A_o","C2","1HW",496.623002899778,71.7571787443894,8.98887635248597,46.8238572749001,15.9444451170033,0.7778,NA
"A_o","D1","0HW",397.689767217057,44.5454518968071,4.65297027643957,29.994482208897,9.89799941147054,0.7778,NA
"A_o","D2","0HW",327.828438090583,38.3742929425297,3.83559272565982,26.0119323250398,8.5267678918301,0.7778,NA
"A_o","E1","3HW",561.11330156063,103.977802114006,10.1561507582474,70.7177837260261,23.103867629732,0.7778,NA
"A_o","E2","3HW",481.472307386044,54.1500890678856,8.71464876368739,33.403290513314,12.0321497908842,0.7778,NA
"A_o","F1","1HW",546.756710797975,87.8394746917076,9.89629646544336,58.4252469497668,19.5179312764974,0.7778,NA
"A_o","F2","1HW",454.852580056079,62.353222694348,8.23283169901503,40.2655049126488,13.8548860826841,0.7778,NA
"I_o","A1","0HW",78.3340766503466,11.6692931786798,2.56935771413137,7.33553833593208,1.76439712861639,0.8488,NA
"I_o","A2","0HW",101.347005983237,19.6263926672024,3.32418179625017,13.3347002996712,2.967510571281,0.8488,NA
"I_o","B2","3HW",90.1239345656206,27.091930446208,5.92906870913742,17.0665618536039,4.09629988346665,0.8488,NA
"I_o","C1","1HW",14.9525229430879,3.26038245040827,0.983695799920622,1.78371682398592,0.492969826501731,0.8488,NA
"I_o","C2","1HW",64.2860978354723,10.6609934426364,4.22925045323359,4.81980078087623,1.61194220852663,0.8488,NA
"I_o","D1","0HW",12.9766525787965,4.06608260001183,0.425634204584525,3.02565670630552,0.614791689121789,0.8488,NA
"I_o","D2","0HW",76.4045635907521,13.0223999760425,2.50606968577667,8.54734341388821,1.96898687637763,0.8488,NA
"I_o","E1","3HW",41.336632903156,10.4735946872119,2.71945225059776,6.1705349199077,1.58360751670644,0.8488,NA
"I_o","E2","3HW",37.3165943890798,5.72783579225429,2.45498216639408,2.40680485407136,0.866048771788849,0.8488,NA
"I_o","F1","1HW",23.1049398664065,2.59613353399169,1.52002657949501,0.683571564157135,0.392535390339543,0.8488,NA
"I_o","F2","1HW",31.432683246621,4.1260516364862,2.06789172687608,1.4343009021734,0.623859007436714,0.8488,NA
"G_h","A1","0HW",488.329841670559,27.6729803980319,7.52027956172661,17.5043966122137,2.64830422409166,0.9043,NA
"G_h","A2","0HW",748.38960834729,43.2970763527553,11.5251999685483,27.6283461772483,4.14353020695868,0.9043,NA
"G_h","B2","3HW",491.387936566665,31.8454368252092,8.10790095334997,20.6899275676867,3.04760830417252,0.9043,NA
"G_h","C1","1HW",155.141301849055,8.98017007958869,2.55983148050941,5.56093632246265,0.859402276616638,0.9043,NA
"G_h","C2","1HW",259.870534742097,29.9218853796932,4.2878638232446,22.770497125612,2.86352443083664,0.9043,NA
"G_h","D1","0HW",182.219880759779,9.64762491610568,2.80618616370059,5.91816104793377,0.923277704471314,0.9043,NA
