tank,treat,HB,HF,IC,FWC
A1,0HW,1.235986331,3.506148,2.667102,2.54991
A2,0HW,1.333818149,3.798334,2.78296,2.575256
B2,3HW,1.07891689,3.348726,2.372255,2.560845
C1,1HW,1.087673175,3.055769,2.327226,2.035966
C2,1HW,1.145533561,3.252121,2.450799,2.433756
D1,0HW,1.16240847,3.251428,2.410065,2.286433
D2,0HW,1.073988559,3.583413,2.660835,2.616707
E1,3HW,1.26634581,3.525975,2.609488,2.441869
E2,3HW,1.119004285,3.540715,2.554279,2.418816
F1,1HW,1.223574482,3.393582,2.509662,2.256734
F2,1HW,1.038454414,3.304323,2.508424,2.438336
