"","A1","A2","B2","C1","C2","D1","D2","E1","E2","F1","F2"
"0.015",1,1,1,1,1,1,1,1,1,1,1
"0.0149",1,1,1,1,1,1,1,1,1,1,1
"0.0148",1,1,1,1,1,1,1,1,1,1,1
"0.0147",1,1,1,1,1,1,1,1,1,1,1
"0.0146",1,1,1,1,1,1,1,1,1,1,1
"0.0145",1,1,1,1,1,1,1,1,1,1,1
"0.0144",1,1,1,1,1,1,1,1,1,1,1
"0.0143",1,1,1,1,1,1,1,1,1,1,1
"0.0142",1,1,1,1,1,1,1,1,1,1,1
"0.0141",1,1,1,1,1,1,1,1,1,1,1
"0.014",1,1,1,1,1,1,1,1,1,1,1
"0.0139",1,1,1,1,1,1,1,1,1,1,1
"0.0138",1,1,1,1,1,1,1,1,1,1,1
"0.0137",1,1,1,1,1,1,1,1,1,1,1
"0.0136",1,1,1,1,1,1,1,1,1,1,1
"0.0135",1,1,1,1,1,1,1,1,1,1,1
"0.0134",1,1,1,1,1,1,1,1,1,1,1
"0.0133",1,1,1,1,1,1,1,1,1,1,1
"0.0132",1,1,1,1,1,1,1,1,1,1,1
"0.0131",1,1,1,1,1,1,1,1,1,1,1
"0.013",1,1,1,1,1,1,1,1,1,1,1
"0.0129",1,1,1,1,1,1,1,1,1,1,1
"0.0128",1,1,1,1,1,1,1,1,1,1,1
"0.0127",1,1,1,1,1,1,1,1,1,1,1
"0.0126",1,1,1,1,1,1,1,1,1,1,1
"0.0125",1,1,1,1,1,1,1,1,1,1,1
"0.0124",1,1,1,1,1,1,1,1,1,1,1
"0.0123",1,1,1,1,1,1,1,1,1,1,1
"0.0122",1,1,1,1,1,1,1,1,1,1,1
"0.0121",1,1,1,1,1,1,1,1,1,1,1
"0.012",1,1,1,1,1,1,1,1,1,1,1
"0.0119",1,1,1,1,1,1,1,1,1,1,1
"0.0118",1,1,1,1,1,1,1,1,1,1,1
"0.0117",1,1,1,1,1,1,1,1,1,1,1
"0.0116",1,1,1,1,1,1,1,1,1,1,1
"0.0115",1,1,1,1,1,1,1,1,1,1,1
"0.0114",1,1,1,1,1,1,1,1,1,1,1
"0.0113",1,1,1,1,1,1,1,1,1,1,1
"0.0112",1,1,1,1,1,1,1,1,1,1,1
"0.0111",1,1,1,1,1,1,1,1,1,1,1
"0.011",1,1,1,1,1,1,1,1,1,1,1
"0.0109",1,1,1,1,1,1,1,1,1,1,1
"0.0108",1,1,1,1,1,1,1,1,1,1,1
"0.0107",1,1,1,1,1,1,1,1,1,1,1
"0.0106",1,1,1,1,1,1,1,1,1,1,1
"0.0105",1,1,1,1,1,1,1,1,1,1,1
"0.0104",1,1,1,1,1,1,1,1,1,1,1
"0.0103",1,1,1,1,1,1,1,1,1,1,1
"0.0102",1,1,1,1,1,1,1,1,1,1,1
"0.0101",1,1,1,1,1,1,1,1,1,1,1
"0.01",1,1,1,1,1,1,1,1,1,1,1
"0.0099",1,1,1,1,1,1,1,1,1,1,1
"0.0098",1,1,1,1,1,1,1,1,1,1,1
"0.0097",1,1,1,1,1,1,1,1,1,1,1
"0.0096",1,1,1,1,1,1,1,1,1,1,1
"0.0095",1,1,1,1,1,1,1,1,1,1,1
"0.0094",1,1,1,1,1,1,0,1,1,1,1
"0.0093",1,1,1,1,1,1,0,1,1,1,1
"0.0092",1,1,1,1,1,1,0,1,1,1,1
"0.0091",1,1,1,1,1,1,0,1,1,1,1
"0.009",1,1,1,1,1,1,0,1,1,1,1
"0.0089",1,1,1,1,1,1,0,1,1,1,1
"0.0088",1,1,1,1,1,1,0,1,1,1,1
"0.0087",1,1,1,1,1,1,0,1,1,1,1
"0.0086",1,1,1,1,1,1,0,1,1,1,1
"0.0085",1,1,1,1,1,1,0,1,1,1,1
"0.0084",1,1,1,1,1,1,0,1,1,1,1
"0.0083",1,1,1,1,1,1,0,1,0,1,1
"0.0082",1,1,1,1,1,1,0,1,0,1,1
"0.0081",1,1,1,1,1,1,0,1,0,1,1
"0.008",1,1,1,1,1,1,0,1,0,1,1
"0.0079",1,1,0,1,1,1,0,1,0,1,1
"0.0078",1,1,0,1,1,1,0,1,0,1,1
"0.0077",1,1,0,1,1,1,0,1,0,1,1
"0.0076",1,0,0,1,1,1,0,1,0,1,1
"0.0075",1,0,0,1,1,1,0,1,0,1,1
"0.0074",1,0,0,1,1,1,0,1,0,1,0
"0.0073",1,0,0,1,1,1,0,1,0,1,0
"0.0072",1,0,0,1,1,1,0,1,0,1,0
"0.0071",1,0,0,1,1,1,0,1,0,1,0
"0.007",1,0,0,1,1,1,0,1,0,1,0
"0.0069",1,0,0,1,1,1,0,1,0,1,0
"0.0068",1,0,0,1,1,1,0,1,0,1,0
"0.0067",1,0,0,1,1,1,0,1,0,1,0
"0.0066",1,0,0,1,1,1,0,1,0,1,0
"0.0065",1,0,0,1,1,1,0,1,0,1,0
"0.0064",1,0,0,1,1,0,0,1,0,1,0
"0.0063",1,0,0,1,1,0,0,1,0,1,0
"0.0062",1,0,0,1,0,0,0,1,0,1,0
"0.0061",1,0,0,1,0,0,0,1,0,1,0
"0.006",1,0,0,1,0,0,0,1,0,1,0
"0.0059",1,0,0,1,0,0,0,1,0,1,0
"0.0058",0,0,0,1,0,0,0,1,0,1,0
"0.0057",0,0,0,1,0,0,0,1,0,1,0
"0.0056",0,0,0,1,0,0,0,1,0,1,0
"0.0055",0,0,0,0,0,0,0,1,0,1,0
"0.0054",0,0,0,0,0,0,0,1,0,1,0
"0.0053",0,0,0,0,0,0,0,1,0,1,0
"0.0052",0,0,0,0,0,0,0,1,0,1,0
"0.0051",0,0,0,0,0,0,0,1,0,1,0
"0.005",0,0,0,0,0,0,0,1,0,1,0
"0.0049",0,0,0,0,0,0,0,1,0,1,0
"0.0048",0,0,0,0,0,0,0,1,0,1,0
"0.0047",0,0,0,0,0,0,0,1,0,1,0
"0.0046",0,0,0,0,0,0,0,1,0,0,0
"0.0045",0,0,0,0,0,0,0,1,0,0,0
"0.0044",0,0,0,0,0,0,0,1,0,0,0
"0.0043",0,0,0,0,0,0,0,1,0,0,0
"0.0042",0,0,0,0,0,0,0,1,0,0,0
"0.0041",0,0,0,0,0,0,0,1,0,0,0
"0.004",0,0,0,0,0,0,0,1,0,0,0
"0.0039",0,0,0,0,0,0,0,1,0,0,0
"0.0038",0,0,0,0,0,0,0,1,0,0,0
"0.0037",0,0,0,0,0,0,0,1,0,0,0
"0.0036",0,0,0,0,0,0,0,1,0,0,0
"0.0035",0,0,0,0,0,0,0,1,0,0,0
"0.0034",0,0,0,0,0,0,0,1,0,0,0
"0.0033",0,0,0,0,0,0,0,1,0,0,0
"0.0032",0,0,0,0,0,0,0,1,0,0,0
"0.0031",0,0,0,0,0,0,0,1,0,0,0
"0.003",0,0,0,0,0,0,0,1,0,0,0
"0.0029",0,0,0,0,0,0,0,1,0,0,0
"0.0028",0,0,0,0,0,0,0,1,0,0,0
"0.0027",0,0,0,0,0,0,0,1,0,0,0
"0.0026",0,0,0,0,0,0,0,0,0,0,0
"0.0025",0,0,0,0,0,0,0,0,0,0,0
"0.0024",0,0,0,0,0,0,0,0,0,0,0
"0.0023",0,0,0,0,0,0,0,0,0,0,0
"0.0022",0,0,0,0,0,0,0,0,0,0,0
"0.0021",0,0,0,0,0,0,0,0,0,0,0
"0.002",0,0,0,0,0,0,0,0,0,0,0
"0.0019",0,0,0,0,0,0,0,0,0,0,0
"0.0018",0,0,0,0,0,0,0,0,0,0,0
"0.0017",0,0,0,0,0,0,0,0,0,0,0
"0.0016",0,0,0,0,0,0,0,0,0,0,0
"0.0015",0,0,0,0,0,0,0,0,0,0,0
"0.0014",0,0,0,0,0,0,0,0,0,0,0
"0.0013",0,0,0,0,0,0,0,0,0,0,0
"0.0012",0,0,0,0,0,0,0,0,0,0,0
"0.0011",0,0,0,0,0,0,0,0,0,0,0
"0.001",0,0,0,0,0,0,0,0,0,0,0
