"tank","row","column","stable","unstable"
"A1","ZM","A_o",562,438
"A1","ZM","I_o",1000,0
"A1","ZM","G_h",622,378
"A1","FV","A_o",562,438
"A1","FV","I_o",1000,0
"A1","FV","G_h",522,478
"A1","FA","A_o",509,491
"A1","FA","I_o",1000,0
"A1","FA","G_h",517,483
"A1","A_d","P_o",547,453
"A1","A_o","P_o",529,471
"A1","G_d","P_o",530,470
"A1","G_h","P_o",1000,0
"A1","B_f","P_o",597,403
"A1","P_d","P_o",1000,0
"A1","P_o","P_o",546,454
"A1","POC","A_d",600,400
"A1","POC","A_o",521,479
"A1","POC","I_d",1000,0
"A1","POC","I_o",699,301
"A1","POC","G_d",563,437
"A1","POC","G_h",1000,0
"A1","POC","B_f",1000,0
"A1","POC","P_d",1000,0
"A1","POC","P_o",511,489
"A2","ZM","A_o",661,339
"A2","ZM","I_o",837,163
"A2","ZM","G_h",1000,0
"A2","FV","A_o",542,458
"A2","FV","I_o",423,577
"A2","FV","G_h",537,463
"A2","FA","A_o",522,478
"A2","FA","I_o",522,478
"A2","FA","G_h",532,468
"A2","A_d","P_o",534,466
"A2","A_o","P_o",496,504
"A2","G_d","P_o",512,488
"A2","G_h","P_o",1000,0
"A2","B_f","P_o",539,461
"A2","P_d","P_o",757,243
"A2","P_o","P_o",517,483
"A2","POC","A_d",560,440
"A2","POC","A_o",614,386
"A2","POC","I_d",1000,0
"A2","POC","I_o",744,256
"A2","POC","G_d",527,473
"A2","POC","G_h",1000,0
"A2","POC","B_f",539,461
"A2","POC","P_d",1000,0
"A2","POC","P_o",487,513
"B2","ZM","A_o",545,455
"B2","ZM","I_o",497,503
"B2","ZM","G_h",579,421
"B2","FV","A_o",508,492
"B2","FV","I_o",511,489
"B2","FV","G_h",580,420
"B2","FA","A_o",496,504
"B2","FA","I_o",506,494
"B2","FA","G_h",463,537
"B2","A_d","P_o",501,499
"B2","A_o","P_o",563,437
"B2","G_d","P_o",519,481
"B2","G_h","P_o",487,513
"B2","B_f","P_o",512,488
"B2","P_d","P_o",686,314
"B2","P_o","P_o",521,479
"B2","POC","A_d",512,488
"B2","POC","A_o",666,334
"B2","POC","I_d",540,460
"B2","POC","I_o",525,475
"B2","POC","G_d",489,511
"B2","POC","G_h",578,422
"B2","POC","B_f",609,391
"B2","POC","P_d",863,137
"B2","POC","P_o",505,495
"C1","ZM","A_o",530,470
"C1","ZM","I_o",524,476
"C1","ZM","G_h",561,439
"C1","FV","A_o",636,364
"C1","FV","I_o",590,410
"C1","FV","G_h",661,339
"C1","FA","A_o",567,433
